"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ABCD2345","webpage","","Center for History and New Media","Zotero Quick Start Guide","","","","","http://zotero.org/support/quick_start_guide","","","2016-09-13 16:12:22","2016-09-13 16:12:22","","","","","","","","","","","","","","","","","","","","","","","<p><strong>Welcome to Zotero!</strong></p> <p>View the Quick Start Guide to learn how to begin collecting, managing, citing, and sharing your research sources.</p> <p>Thanks for installing Zotero.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FXIPVEGU","journalArticle","2010","Bowers, Alex J.","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","Practical Assessment, Research & Evaluation","","1531-7714","","","School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)","2010-05","2016-09-15 14:53:13","2016-09-15 14:53:13","2014-09-24 19:31:29","","","7","15","","","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students","","","","","","","en","","","","","ERIC","","","<p>Notes</p> <ul> <li>No model to help decision making on disaggregated achievement data collection on students</li> <li>Grades may not be the best way to gauge learning, but teachers are often resistant to change</li> <li>Data driven decision making (3DM)</li> <li>Goal for 3DM should be to interrupt a decline in achievement early, before it results in future course failure <ul> <li>Predictive process is tough to gauge and do this properly</li> <li>Central aim, however, is for teachers to combat the previous by adopting hierarchical cluster analysis and heatmaps for use with teachers assigning grades and data driven decision making</li> <li>Figure three brings this together</li> </ul> </li> <li>Hierarchical cluster analysis (HCA) of k-6 data predicted 63% of students who would drop out, and HCA of K-12 and K-8 predicted 88.6% and 93.9% of students who would drop out.&nbsp; These numbers are drastic improvements in predicting students who will drop out.&nbsp; This can lead to interventions before this actually occurs.&nbsp;</li> </ul>","","http://eric.ed.gov/?id=EJ933686","","data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MPWH5VN8","journalArticle","2014","Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","CBE-Life Sciences Education","",", 1931-7913","10.1187/cbe.13-08-0162","http://www.lifescied.org/content/13/2/167","Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.","2014-06-20","2016-09-15 14:53:14","2016-09-15 14:53:14","2014-08-20 20:21:46","167-178","","2","13","","CBE Life Sci Educ","Understanding Classrooms through Social Network Analysis","","","","","","","en","","","","","www.lifescied.org","","","<p>Notes</p> <ul> <li>Social interactions is an unexplored area in undergraduate education</li> <li>Understanding those relationships can improve educators in unique ways and improve educational reform.&nbsp;</li> <li>SNA provides the toolkit for investigating questions involving relational data.</li> <li>This study creates observed networks between students while also testing for an association between network position and success on exams.&nbsp;</li> <li>&nbsp;Studies Goal: To convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.</li> <li>Networks have a large impact on student behavior. <ul> <li><strong><em>Social Network Basics. </em></strong>SNA aims to understand the determinants, structure, and consequences of relationships be- tween actors. In other words, SNA helps us to understand how relationships form, what kinds of relational structures emerge from the building blocks of individual relationships between pairs of actors, and what, if any, the impacts are of these relationships on actors. <em>Actors</em>, also called <em>nodes</em>, can be individuals, organizations, websites, or any entity that can be connected to other entities. A group of actors and the connections between them make up a network.</li> <li>The importance of relationships and emergent structures formed by relationships makes SNA different from other re- search paradigms, which often focus solely on the attributes of actors. For example, traditional analyses may separate students into groups based on their attributes and search for disproportional outcomes based on those attributes. A social network perspective would focus instead on how individuals may have similar network positions due to shared attributes. These similar network positions may present the same social influences on both individuals, and these social influences may be an important part of the causal chain to the shared outcome. In situations in which a presence or absence of social support is suspected to be important to outcomes of interest, such as formal learning within a classroom, the SNA paradigm is appealing.</li> </ul> </li> <li>Networks change over time, and SNA can track that to gauge network efficacy within examination scores</li> <li>Correlating student performance to network position is one future use of SNA</li> <li>Educational networks are not exclusive to students.&nbsp; They can be used to link teachers, administrators, and teaching practices to identify key components of success within an educational institution.</li> <li>Networks are a simple yet powerful way of looking at the small and vital communities in every school and college.&nbsp;</li> </ul>","","http://www.lifescied.org/content/13/2/167","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AZFWCQMI","blogPost","2014","Young, Jeffrey R.","Why Students Should Own Their Educational Data","The Chronicle of Higher Education Blogs: Wired Campus","","","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","2014-08-21","2016-09-15 14:53:14","2016-09-15 14:53:14","2014-08-23 21:32:22","","","","","","","","","","","","","","","","","","","","","","<p>Notes</p> <ul> <li>Most learners have a jagged profile<strong></strong> <ul> <li>One student may have an affinity for science, but below-average reading skills.&nbsp; Since science books assume students are grading level, students who struggle to read also struggle in science.&nbsp; Science, in essence, becomes a reading test instead of a learning experience for science. <strong></strong></li> </ul> </li> <li>Author believes data can solve jagged profiles, by having customized learning.</li> <li>Statistical patterns are not indicative of the population</li> <li>Goal: For students to have access to there contextualized profile.&nbsp; This would include your performance and your learner profile across contexts.&nbsp; Currently everyone, but the user has access to their data.&nbsp; If students could have access to their own learning data across their educational tenure they can optimize their learning, by analyzing their own learning style and performing interventions accordingly,</li> </ul>","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28P8DNV6","conferencePaper","2012","Siemens, George; Baker, Ryan S. J. d.","Learning Analytics and Educational Data Mining: Towards Communication and Collaboration","Proceedings of the 2Nd International Conference on Learning Analytics and Knowledge","978-1-4503-1111-3","","10.1145/2330601.2330661","http://doi.acm.org/10.1145/2330601.2330661","Growing interest in data and analytics in education, teaching, and learning raises the priority for increased, high-quality research into the models, methods, technologies, and impact of analytics. Two research communities -- Educational Data Mining (EDM) and Learning Analytics and Knowledge (LAK) have developed separately to address this need. This paper argues for increased and formal communication and collaboration between these communities in order to share research, methods, and tools for data mining and analysis in the service of developing both LAK and EDM fields.","2012","2016-09-15 14:53:14","2016-09-15 14:53:14","2015-01-16 03:15:55","252–254","","","","","","Learning Analytics and Educational Data Mining","","","","","ACM","New York, NY, USA","","","","","","ACM Digital Library","","","<p>Notes</p> <ul> <li>Educational Data Mining (EDM) &amp; Learning Analytics and Knowledge (LAK) have developed to address the need of growing interest in data and analytics in education, teaching, and learning raises the priority for increased, high-quality research into the models, methods, technologies, and impact of analytics.&nbsp;</li> <li>Paper argues communication and collaboration between the two fields: in things such as tools, research, and methods for data mining and analysis in the service of LAK and EDM.&nbsp;</li> <li>Emergence of big data in education holds promise for improving learning processes in education.</li> <li>Very large data sets are available, via repository, for public analysis.</li> <li>EDM brings together a inter-disciplinary community of computer scientists, learning scientists, psychometricians, and researchers.&nbsp;</li> <li>EDM and LAK are similar and have overlap.</li> <li>Difference 1: discovery prioritization.&nbsp; EDM has a focus on automated discover while LAK has a focus on human judgment.&nbsp; <ul> <li>In EDM models are used as the basis of automated adaption, while LAK models are designed to inform and empower instructors and learners.</li> </ul> </li> <li>Difference 2: EDM focuses on individual parts whereas LAK focuses on the model as a whole.&nbsp;</li> <li>EDM: Educational Data Mining is an emerging discipline, concerned with developing methods for exploring the unique types of data that come from educational settings, and using those methods to better understand students, and the settings that they learn in.</li> <li>LAK: The measurement, collection, analysis and reporting of data about learners and their contexts, for purposes of understanding and optimizing learning and the environments in which it occurs.</li> <li>To create collaboration it is recommended that each side disseminate their research to one another.&nbsp;</li> <li>EDM and LAK agree that data and analytics will transform all levels of education (primary, secondary, and post-secondary).</li> </ul>","","","","Collaboration; educational data mining; learning analytics and knowledge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3WNXQAQJ","journalArticle","2008","Baker, Ryan S. J. d; Corbett, Albert T.; Roll, Ido; Koedinger, Kenneth R.","Developing a generalizable detector of when students game the system","User Modeling and User-Adapted Interaction","","0924-1868, 1573-1391","10.1007/s11257-007-9045-6","http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/s11257-007-9045-6","Some students, when working in interactive learning environments, attempt to “game the system”, attempting to succeed in the environment by exploiting properties of the system rather than by learning the material and trying to use that knowledge to answer correctly. In this paper, we present a system that can accurately detect whether a student is gaming the system, within a Cognitive Tutor mathematics curricula. Our detector also distinguishes between two distinct types of gaming which are associated with different learning outcomes. We explore this detector’s generalizability, and find that it transfers successfully to both new students and new tutor lessons.","2008-08-01","2016-09-15 14:53:14","2016-09-15 14:53:14","2015-01-16 16:33:56","287-314","","3","18","","User Model User-Adap Inter","","","","","","","","en","","","","","link.springer.com.ezp-prod1.hul.harvard.edu","","","<p>Notes</p> <ul> <li>Some students game the system when working in interactive learning environments.&nbsp; This is done by exploiting properties of the system rather than by learning the material and trying to use that knowledge to answer questions correctly.</li> <li>The paper presents a system that detects students who are gaming the system, within math curricula.&nbsp;</li> <li>Latent response models were used as the statistical basis for the detector of harmful gaming.</li> <li>Latent response models have the advantage of easily and naturally integrating multiple data sources, at different grain sizes, into a single model</li> <li>They use four criteria to judge their gaming detector <ul> <li>Identifying which students game</li> <li>Accurately identifying when students game</li> <li>Increasing our knowledge about gaming</li> <li>Generalizing beyond the original training context</li> </ul> </li> <li>Their model was the best one three of the four criterions; the second was the only one where they were not the best.&nbsp; Thus they say that their model was the best.&nbsp;</li> <li>Future detectors may detect if a student using an intelligent tutoring system is idle, off task, and asking the teacher or another for help.&nbsp;</li> </ul> <p><strong>&nbsp;</strong></p>","","http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/s11257-007-9045-6","","Behavior detection; Cognitive tutors; Education (general); Gaming the system; Generalizable models; Interactive learning environments; Latent response models; Machine learning; Management of Computing and Information Systems; Multimedia Information Systems; student modeling; User Interfaces and Human Computer Interaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RPEBDBWT","book","2015","Zheng, Alice","Evaluating Machine Learning Models","","","","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","Data science today is a lot like the Wild West: there’s endless opportunity and excitement, but also a lot of chaos and confusion. If you’re new to data science and applied machine learning, evaluating a machine-learning model can seem pretty overwhelming...","2015-09","2016-09-15 14:53:14","2016-09-15 14:53:14","2015-12-15 18:26:39","","","","","","","","","","","","O'Reily Media","Sebastopol, CA","","","","","","","","","<p>Notes</p> <ul> <li>Classification metrics is about predicting class labels given input data<strong></strong></li> <li>Accuracy measure how often the classifier makes the correct prediction.<strong></strong> <ul> <li>Accuracy = (# of correct predictions) / (# of total data points)<strong></strong></li> </ul> </li> <li>A confusion matrix shows a more detailed breakdown of correct and incorrect classifications for each class</li> <li>AUC = Area under the curve</li> <li>ROC = Receiver operating characteristic</li> <li>The curve shows the sensitivity of the classifier by plotting the rate of true positives to the rate of false positives.&nbsp; In other words it should you how many correct positive classifications can be gained as you allow for more and more false positives.</li> <li>Classifier: A model, which predicts the class value from other explanatory attributes.&nbsp; For example, you can predict drop out rates from a student’s performance (such as grade and attendance) in a given course.</li> <li>Precision-recall is popular for classification tasks <ul> <li>This uses two metrics.&nbsp;</li> <li>Precision answers the question, “Out of the items that the ranker/classifier predicted to be relevant, how many are truly relevant?” <ul> <li>Precision = (# of happy correct answers) / (# of total items returned by ranker)</li> </ul> </li> <li>Whereas, recall answers the question, “Out of all the items that are truly relevant, how many are found by the ranker/classifier?” <ul> <li>Recall = (# of happy correct answers) / (# of total relevant items)</li> </ul> </li> </ul> </li> <li>In a regression task, the model learns to predict numeric scores</li> <li>Outliers can skew results, and they must be approach with caution.&nbsp; Every situation asks for something different, so you may want to remove them but you may also want to look at applying new models for them.</li> <li>Be on the lookout for data skew.&nbsp; This can affect results. Data skew is when one kind of data is much more rare than others, or when there are very large or very small outliers that could drastically change the metric</li> <li>R Software Packages: Metrics package</li> </ul> <p>&nbsp;</p>","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ESCHKCJB","blogPost","2015","Leong, B; Polonetsky, J","Why Opting Out of Student Data Collection Isn’t the Solution","EdSurge","","","","https://www.edsurge.com/news/2015-03-16-why-opting-out-of-student-data-collection-isn-t-the-solution","In every privacy debate across every industry, the same questions arise about the rights of individuals to “opt-out” of their data being collected or used. So it should come as no surprise that the “when” and “how” of parent and student opt-outs of education data collection or use has become a robust","2015-03-16","2016-09-15 14:53:14","2016-09-15 14:53:14","2016-01-16 16:31:25","","","","","","","","","","","","","","","","","","","","","","<p>Notes</p> <ul> <li>Data helps students <ul> <li>Data is needed for schools to function <ul> <li>Record grades, eligibility for subsidized lunch, etc.</li> </ul> </li> <li>Data shows schools which methods are performing well over time, which can lead to improvements</li> <li>Opting out disables a schools’ ability to gauge how good of an education they are providing</li> </ul> </li> <li>Students should consider opting out when their data is being used for purposes unrelated to education activities: marketing, selling data, etc.</li> <li>Why opting out is not the solution <ul> <li>Opting out takes away the opportunities for educational improvement.&nbsp;</li> <li>Opting out should only be an opportunity to decline use of secondary use of educational data, not an opportunity to avoid resolution of education policy issues that affect all students.&nbsp; It is on policy holders to make this happen</li> </ul> </li> </ul>","","https://www.edsurge.com/news/2015-03-16-why-opting-out-of-student-data-collection-isn-t-the-solution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3D3W85MJ","videoRecording","2015","Educause","Why Is Measuring Learning So Difficult?","","","","","https://www.youtube.com/watch?v=_iv8A1pHNYA","Several higher education learning and assessment professionals discuss the difficulties of measuring learning.","2015-08-17","2016-09-15 14:53:14","2016-09-15 14:53:14","2016-01-17 18:50:57","","","","","","","","","","","","","","","","","","","YouTube","","","<p>Notes</p> <ul> <li>Learning is multidimensional.&nbsp;</li> <li>Problem: You have to simplify learning to much in order to capture data (understanding that we can use).</li> <li>Learning is too broad.&nbsp; Can’t measure it in a psychometric way.</li> <li>In fields like the humanities it is extremely hard to gauge learning, whereas in mathematics it is much simpler.&nbsp;</li> <li>Analytics shouldn’t just be a diagnosis of what’s happening now, but also a way to showcase what else is possible (within a student’s learning).</li> </ul> <p>&nbsp;</p>","","","","Assessment; Education; educational assessment; EDUCAUSE; Higher Education; learners; Learning; Teaching and learning","","","","","","","","","","","","","","","","","","","","","470 seconds","","","","","","","","","","","","","","","","","","","","","","","","",""
"C39FCW2U","webpage","2016","Weinersmith, Zach","Saturday Morning Breakfast Cereal","","","","","http://www.smbc-comics.com/index.php?id=3978","","2016-01-05","2016-09-15 14:53:14","2016-09-15 14:53:14","2016-01-18 18:17:09","","","","","","","","","","","","","","","","","","","","","","<p>Notes</p> <ul> <li>Showcases the potential danger of LA<strong></strong></li> <li>In this cartoon they depict elite engineers disassembling and reassembling clocks as children.&nbsp; So schools base their entire curriculum about clocks.&nbsp; Eliminating every subject.&nbsp; Later the schools realized that the elite engineers only liked clocks as kids, not anything else.&nbsp; Basically this shows that basing decisions on data alone can lead to catastrophe if not used in the right context.&nbsp; Context + Data Analysis = Better Decision Making.&nbsp; <strong></strong></li> </ul>","","http://www.smbc-comics.com/index.php?id=3978","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
