"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"3VQV5F7C","blogPost","2013","","Chicken or the Egg? Granger-Causality for the masses","R-bloggers","","","","https://www.r-bloggers.com/chicken-or-the-egg-granger-causality-for-the-masses/","<div><br></div> <div><span>When I first learned about Granger-causality this past February, I was bemused and quite skeptical of the whole procedure.&nbsp; I felt it belonged on the scrapheap of impractical academic endeavors, preferring to possibly use an ARIMA transfer function model for the same task.&nbsp; However, several contemporaries threw the red challenge flag and upon further review, my initial impressions have been overturned.&nbsp;&nbsp; Not only am I fascinated by the technique, in my attempt to discover its value I have became a raving R fan.&nbsp; As such, my first blog entry is to provide some simple code to allow anyone to utilize this obscure econometric technique, but first some background.<p></p></span></div> <div><span>Given two sets of time series data, x and y, granger-causality is a method which attempts to determine whether one series is likely to influence change in the other. This is accomplished by taking different lags of one series and using that to model the change in the second series. We create two models which predict y, one with only past values of y (&Omega;), and the other with past values of y and x (&pi;). The models are given below where k is the number of lags in the time series:<p></p></span></div> <div><br></div> <div> <span>Let &Omega; = y<sub>t</sub> = &beta;<sub>0</sub> + &beta;<sub>1</sub>y<sub>t-1</sub> +&hellip;+ &beta;<sub>k</sub>y<sub>t-k </sub>+ </span><span>e</span><span><p></p></span> </div> <div><br></div> <div> <span>And &pi; = y<sub>t</sub> = &beta;<sub>0</sub> + &beta;<sub>1</sub>y<sub>t-1</sub> +&hellip;+ &beta;<sub>k</sub>y<sub>t-k </sub>+ &alpha;<sub>1</sub>x<sub>t-1</sub> +&hellip;+ &alpha;<sub>k</sub>x<sub>t-k</sub> + </span><span>e</span><span><p></p></span> </div> <div><br></div> <div><span>The residual sums of squared errors are then compared and a test is used to determine whether the nested model (&Omega;) is adequate to explain the future values of y or if the full model (&pi;) is better. The F-test, t-test or Wald test (used in R) are calculated to test the following null and alternate hypotheses:<p></p></span></div> <div><br></div> <div><span>H<sub>0</sub>:&nbsp; &alpha;<sub>i</sub> = 0 for each i of the element [1,k]<p></p></span></div> <div><span>H<sub>1</sub>: &alpha;<sub>i</sub> &ne; 0 for at least 1 i of the element [1,k]<p></p></span></div> <div><br></div> <div><span>Essentially, we are trying to determine whether we can say that statistically x provides more information about future values of y than past values of y alone. Under this definition it is clear that we are not trying to prove actual causation, only that the two values are related by some phenomenon.&nbsp; Along those lines, we must also run this model in reverse to verify that that y does not provide information about future values of x. If we find that this is the case, it is likely that there is some exogenous variable, z, which needs to be controlled or could be a better candidate for granger causation.&nbsp; <p></p></span></div> <div><span>For a detailed explanation, one can read the original paper on the subject:<p></p></span></div> <div><span>Granger, Clive W., &ldquo;Investigating Causal Relations by Econometric Models and Cross-Spectral Methods&rdquo;, <i>Econometrica, </i>37(1969): 424-38<p></p></span></div> <div><span>The R package &ldquo;lmtest&rdquo; incorporates the granger causality procedure, including a data set to answer the age old question of what came first, &ldquo;the chicken or the egg&rdquo;.&nbsp; The data was presented by Walter Thurman and Mark Fisher in the American Journal of Agricultural Economics, May 1988, titled &ldquo;Chickens, Eggs, and Causality, or Which Came First?&rdquo;&nbsp; It consists of two time series from 1930 to 1983, one of U.S. egg production and the other the estimated U.S. chicken population.<a href=""http://www.blogger.com/blogger.g?blogID=1476380772205204590"" name=""_GoBack""></a><p></p></span></div> <div><span>Let's get some code going, first loading the data from a saved .csv file.<p></p></span></div> <div><span>&gt; chickegg &lt;- read.csv(file.choose())<p></p></span></div> <div><span>&gt; head(chickegg)<p></p></span></div> <div><span>&nbsp; Year chicken&nbsp; egg<p></p></span></div> <div><span>1 1930&nbsp; 468491 3581<p></p></span></div> <div><span>2 1931&nbsp; 449743 3532<p></p></span></div> <div><span>3 1932&nbsp; 436815 3327<p></p></span></div> <div><span>4 1933&nbsp; 444523 3255<p></p></span></div> <div><span>5 1934 &nbsp;433937 3156<p></p></span></div> <div><span>6 1935&nbsp; 389958 3081<p></p></span></div> <div><span>&gt; attach(chickegg)<p></p></span></div> <div><span>&gt; # plot the time series<p></p></span></div> <div><span>&gt; par(mfrow=c(2,1))<p></p></span></div> <div><span>&gt; plot.ts(chicken)<p></p></span></div> <div><span>&gt; plot.ts(egg)<p></p></span></div> <div><br></div> <div></div> <br><div><a href=""http://3.bp.blogspot.com/-1Gtzau_3n1c/UawDMbtg02I/AAAAAAAAAAo/ZZzZ1H4edng/s1600/Picture1.png""><img border=""0"" height=""319"" src=""http://3.bp.blogspot.com/-1Gtzau_3n1c/UawDMbtg02I/AAAAAAAAAAo/ZZzZ1H4edng/s320/Picture1.png"" width=""320""></a></div> <div></div> <div><br></div> <div><span>The plots provide little information other than the data is likely not stationary.&nbsp; I've just started using the forecast package, so let's load it and test for what will achieve stationarity.<p></p></span></div> <div><br></div> <div><span>&gt; library(forecast)<p></p></span></div> <div><span>&gt; # test for unit root and number of differences required, you can also test for seasonality with nsdiffs<p></p></span></div> <div><span>&gt; ndiffs(chicken, alpha=0.05, test=c(""kpss""))&nbsp; <p></p></span></div> <div><span>[1] 1<p></p></span></div> <div><span>&gt; ndiffs(egg, alpha=0.05, test=c(""kpss""))<p></p></span></div> <div><span>[1] 1<p></p></span></div> <div><br></div> <div><span>&gt; # differenced time series<p></p></span></div> <div><span>&gt; dchick &lt;- diff(chicken)<p></p></span></div> <div><span>&gt; degg &lt;- diff(egg)<p></p></span></div> <div><br></div> <div><span>&gt; plot.ts(dchick)<p></p></span></div> <div><span>&gt; plot.ts(degg)<p></p></span></div> <div><br></div> <div><span>Much better!<p></p></span></div> <div><a href=""http://1.bp.blogspot.com/-684DEXy_UWQ/UawDOktQQfI/AAAAAAAAAAw/vC2x8euFW2E/s1600/Picture2.png""><img border=""0"" height=""319"" src=""http://1.bp.blogspot.com/-684DEXy_UWQ/UawDOktQQfI/AAAAAAAAAAw/vC2x8euFW2E/s320/Picture2.png"" width=""320""></a></div> <div><br></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span><br></span></div> <div><span>That's pretty standard stuff, but this is where the magic happens!&nbsp; There are several ways to find the optimal lag, which I will skip in the interest of time, but let's say four is the magic number.<p></p></span></div> <div><br></div> <div><span>&gt; # do eggs granger cause chickens? <p></p></span></div> <div><span>&gt; grangertest(dchick ~ degg, order=4)<p></p></span></div> <div><span>Granger causality test<p></p></span></div> <div><br></div> <div><span>Model 1: dchick ~ Lags(dchick, 1:4) + Lags(degg, 1:4)<p></p></span></div> <div><span>Model 2: dchick ~ Lags(dchick, 1:4)<p></p></span></div> <div><span>&nbsp; Res.Df Df&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; F&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;Pr(&gt;F)&nbsp;&nbsp; <p></p></span></div> <div><span>1&nbsp;&nbsp;&nbsp;&nbsp; 40&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <p></p></span></div> <div><span>2&nbsp;&nbsp;&nbsp;&nbsp; 44 &nbsp;&nbsp;-4 &nbsp;&nbsp;4.1762 &nbsp;<b>0.006414</b>**<p></p></span></div> <div><span>---<p></p></span></div> <div><span>Signif. codes:&nbsp; 0 &lsquo;***&rsquo; 0.001 &lsquo;**&rsquo; 0.01 &lsquo;*&rsquo; 0.05 &lsquo;.&rsquo; 0.1 &lsquo; &rsquo; 1<p></p></span></div> <div><br></div> <div><span>Highly significant p-value, but what about the other direction?<p></p></span></div> <div><br></div> <div><span>&gt; # do chickens granger cause eggs, at lag 4?<p></p></span></div> <div><span>&gt; grangertest(degg ~ dchick, order=4)<p></p></span></div> <div><span>Granger causality test<p></p></span></div> <div><br></div> <div><span>Model 1: degg ~ Lags(degg, 1:4) + Lags(dchick, 1:4)<p></p></span></div> <div><span>Model 2: degg ~ Lags(degg, 1:4)<p></p></span></div> <div><span>&nbsp; Res.Df Df&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; F Pr(&gt;F)<p></p></span></div> <div><span>1&nbsp;&nbsp;&nbsp;&nbsp; 40&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <p></p></span></div> <div><span>2&nbsp;&nbsp;&nbsp;&nbsp; 44 -4 0.2817 0.8881<p></p></span></div> <div><br></div> <div><span>It is not significant, so we can say the eggs Granger-Cause chickens!<p></p></span></div> <div><span>This is just the tip of the iceberg, but should be enough to strike up your curiosity and to make you dangerous.&nbsp; I'm working on commodity prices, bond prices and the U.S. stock market, but that is better left for another day.<p></p></span></div> <div><br></div> <div><span>Reference:<p></p></span></div> <div> <span>Thurman W.N. &amp; Fisher M.E. (1988), Chickens, Eggs, and Causality, or Which Came First?,<span>&nbsp;</span><em>American Journal of Agricultural Economics</em>, 237-238.</span><span><p></p></span> </div> <br><div><br></div>","2013-06-02","2016-12-21 18:18:55","2016-12-21 18:18:55","2016-12-21 18:07:57","","","","","","","Chicken or the Egg?","","","","","","","","","","","","","","","","C:\Users\Josh\AppData\Roaming\Zotero\Zotero\Profiles\v5jeaqhe.default\zotero\storage\FHVQU7HD\chicken-or-the-egg-granger-causality-for-the-masses.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CC37PFJP","journalArticle","2008","Baker, Ryan S. J. d; Corbett, Albert T.; Roll, Ido; Koedinger, Kenneth R.","Developing a generalizable detector of when students game the system","User Modeling and User-Adapted Interaction","","0924-1868, 1573-1391","10.1007/s11257-007-9045-6","http://link.springer.com/article/10.1007/s11257-007-9045-6","Some students, when working in interactive learning environments, attempt to “game the system”, attempting to succeed in the environment by exploiting properties of the system rather than by learning the material and trying to use that knowledge to answer correctly. In this paper, we present a system that can accurately detect whether a student is gaming the system, within a Cognitive Tutor mathematics curricula. Our detector also distinguishes between two distinct types of gaming which are associated with different learning outcomes. We explore this detector’s generalizability, and find that it transfers successfully to both new students and new tutor lessons.","2008-08-01","2016-12-21 18:18:55","2016-12-21 18:18:55","2016-12-19 20:46:10","287-314","","3","18","","User Model User-Adap Inter","","","","","","","","en","","","","","link.springer.com","","","<p><strong>ABSTRACT</strong></p> <p>Some students, when working in interactive learning environments, attempt to “game the system”, attempting to succeed in the environment by exploiting properties of the system rather than by learning the material and trying to use that<br />knowledge to answer correctly. In this paper, we present a system that can accurately detect whether a student is gaming the system, within a Cognitive Tutor mathematics curricula. Our detector also distinguishes between two distinct types of gaming which are associated with different learning outcomes. We explore this detector’s generalizability, and find that it transfers successfully to both new students and new tutor lessons.</p> <p>An action is assessed to be gaming or not, by a function on parameters composed of the features drawn from each action’s characteristics.</p> <p><strong>Generalization</strong>:&nbsp;A detector that transfers to new populations of students, within a single tutor lesson, can be used as the basis for a system that responds to gaming the system, within that<br />lesson.</p>","C:\Users\Josh\AppData\Roaming\Zotero\Zotero\Profiles\v5jeaqhe.default\zotero\storage\6GINBN6D\Baker et al. - 2008 - Developing a generalizable detector of when studen.pdf; C:\Users\Josh\AppData\Roaming\Zotero\Zotero\Profiles\v5jeaqhe.default\zotero\storage\D6PDBAE4\s11257-007-9045-6.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B9QGF9MQ","webpage","","Zheng, Alice","Evaluating Machine Learning Models - O'Reilly Media","","","","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","Data science today is a lot like the Wild West: there’s endless opportunity and excitement, but also a lot of chaos and confusion. If you’re new to data science and applied machine learning, evaluating a machine-learning model can seem pretty overwhelming...","","2016-12-21 18:18:55","2016-12-21 18:18:55","2016-12-19 20:46:17","","","","","","","","","","","","","","","","","","","","","","","C:\Users\Josh\AppData\Roaming\Zotero\Zotero\Profiles\v5jeaqhe.default\zotero\storage\DKCRMZN5\evaluating-machine-learning-models.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DG4QTWGX","blogPost","2015","","How to analyze smartphone sensor data with R and the BreakoutDetection package","R-bloggers","","","","https://www.r-bloggers.com/how-to-analyze-smartphone-sensor-data-with-r-and-the-breakoutdetection-package/","<p>Yesterday, J&ouml;rg has written a <a href=""http://beautifuldata.net/2015/01/data-storytelling-stepwise-abstraction-from-raw-data/"">blog post</a> on Data Storytelling with Smartphone sensor data. Here&rsquo;s a practical approach on how to analyze <a>smartphone sensor data</a> with R. In this example I will be using the accelerometer smartphone data that Datarella provided in its <a href=""http://datarella.com/call-for-data-fiction/"">Data Fiction competition</a>. The dataset shows the acceleration along [...]</p>","2015-01-10","2016-12-21 18:18:55","2016-12-21 18:18:55","2016-12-21 18:08:03","","","","","","","","","","","","","","","","","","","","","","<p>Examine smartphone data from the acceloremeter along three axes:</p> <ul> <li>x – sideways acceleration of the device</li> <li>y – forward and backward acceleration of the device</li> <li>z – acceleration up and down</li> </ul> <p>Conduct breakout detection with the library(BreakoutDetection) in R.</p> <p>&nbsp;</p> <p>Example:</p> <blockquote> <p>install.packages(""devtools"") devtools::install_github(""twitter/BreakoutDetection"") library(BreakoutDetection) bo &lt;- breakout(df$x[df$timestamp &gt;= '2014-05-12 12:32:00' &amp; df$timestamp &lt; '2014-05-12 12:35:00'], min.size=10, method='multi', beta=.001, degree=1, plot=TRUE) bo$plot</p> </blockquote>","C:\Users\Josh\AppData\Roaming\Zotero\Zotero\Profiles\v5jeaqhe.default\zotero\storage\Z8A9XD53\how-to-analyze-smartphone-sensor-data-with-r-and-the-breakoutdetection-package.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R47PQ95N","webpage","","","Introduction to Social Network Methods:  Chapter 1: Social Network Data","","","","","http://faculty.ucr.edu/~hanneman/nettext/C1_Social_Network_Data.html","","","2016-12-21 18:18:55","2016-12-21 18:18:55","2016-12-19 20:44:57","","","","","","","","","","","","","","","","","","","","","","<p>ROB Notes</p> <p>SN data lead us to think differently about how to apply statistics.</p> <p>Major Emphasis:</p> <ol> <li>The first major emphasis is seeing how actors are embedded in the overall network</li> <li>Seeing how the whole pattern of individual choices give more holistic patterns.</li> </ol> <p>SN analysis looks at actors and relations vs. conventitional looking at actors and attributes. (NOT SURE OF THE DIFFERENCE)</p> <p>SN have two main parts Nodes (actors) and edges (relations)</p> <ul> <li>the subject or nodes isn't about an individual but samples elements. <ul> <li>not john and who are his friends</li> <li>but instead john, his friends, and their friends connection</li> <li>thus SN typically doesn't use ""samples' but a large portion of a population. <ul> <li>all the classrooms in a school</li> <li>all the words in a text</li> <li>An entire social class</li> </ul> </li> </ul> </li> </ul> <p>Modality: Understanding that every population is needed in multiple networks a student in a class, a class in a school, etc.&nbsp;</p> <p>Two mode network: A data set that contains information about 2 types of social entities (say persons and organ.)</p> <p>Measuring Sampling ties (Edges)</p> <p>Methods:</p> <ul> <li>full network - max info, but can also be costly and difficult ot execute/ generalize.&nbsp; <ul> <li>taking a census of ties.</li> <li>its difficult to collect every information from all individuals, which is needed.</li> <li>most people have limited number of ties anyway.</li> </ul> </li> <li>Snowball - begins with a focal actor(s) <ul> <li>actors are asked to name others, then the named are asked to name, until no new actors are listed.</li> <li>good for special populations (business contacts, community elites)</li> <li>limitation: <ul> <li>isolated folk are not collected</li> <li>overstating connectiveness of a population</li> <li>Thus it is best to start with the most powerful and well connected and work down. (although you still miss those not connected to the elite)</li> </ul> </li> </ul> </li> <li>ego-centric - <ul> <li>alter connections: <ul> <li>asking one actor to list folk and list how those folk may know eachother. (localize network)</li> <li>you can also find trends and cliques within that mini network</li> </ul> </li> <li>ego only:</li> </ul> </li> </ul> <p>Scales of measurement</p> <ul> <li>Understanding how you want to rank relationships.&nbsp; <ul> <li>the presence of a tie or the strength of a tie</li> <li>in doing this ""dummy"" coding you lose a ton of info</li> </ul> </li> <li>Thus you might need to engage in full-rank (but uncommon)</li> </ul> <p>&nbsp;</p>; <p>Social Network Analysis (SNA) are present in other traditional methods, like cross-sectional survey research.</p> <p>""Conventional"" social science data consist of a rectangular array of measurements.<span style=""color: #000000; font-family: Arial; font-size: medium; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;""><span class=""Apple-converted-space""> <br /></span></span></p> <p>""Network"" data (in their purest form) consist of a square array of measurements.</p> <p>Network data are defined by actors and by relations (or ""nodes"" and ""edges"").</p> <p>Social network analysts rarely draw samples in their work. Most commonly, network analysts will identify some population and conduct a census (i.e. include all elements of the population as units of observation).</p> <p>Network analyst can also find individual people nested within networks of face-to-face relations with other persons... networks of interpersonal relations become ""social facts"" (e.g. people within a family share that common trait). <span style=""color: #000000; font-family: Arial; font-size: medium; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;""><span class=""Apple-converted-space""><br /></span></span></p> <p>""Full network"" methods yield the maximum of information, but can also be costly and difficult to execute.&nbsp;</p> <p>""Snowbal""l methods begin with a focal actor or set of actors. Each of these actors is asked to name some or all of their ties to other actors. Then, all the actors named (who were not part of the original list) are tracked down and asked for some or all of their ties. The process continues until no new actors are identified, or until we decide to stop (usually for reasons of time and resources, or because the new actors being named are very marginal to the group we are trying to study).</p> <p>&nbsp;</p>","C:\Users\Josh\AppData\Roaming\Zotero\Zotero\Profiles\v5jeaqhe.default\zotero\storage\BW4V8ETD\C1_Social_Network_Data.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SWRQECFJ","journalArticle","1994","Corbett, Albert T.; Anderson, John R.","Knowledge tracing: Modeling the acquisition of procedural knowledge","User Modeling and User-Adapted Interaction","","0924-1868, 1573-1391","10.1007/BF01099821","http://link.springer.com/article/10.1007/BF01099821","This paper describes an effort to model students' changing knowledge state during skill acquisition. Students in this research are learning to write short programs with the ACT Programming Tutor (APT). APT is constructed around a production rule cognitive model of programming knowledge, called theideal student model. This model allows the tutor to solve exercises along with the student and provide assistance as necessary. As the student works, the tutor also maintains an estimate of the probability that the student has learned each of the rules in the ideal model, in a process calledknowledge tracing. The tutor presents an individualized sequence of exercises to the student based on these probability estimates until the student has ‘mastered’ each rule. The programming tutor, cognitive model and learning and performance assumptions are described. A series of studies is reviewed that examine the empirical validity of knowledge tracing and has led to modifications in the process. Currently the model is quite successful in predicting test performance. Further modifications in the modeling process are discussed that may improve performance levels.","1994-12-01","2016-12-21 18:18:55","2016-12-21 18:18:55","2016-12-19 20:46:26","253-278","","4","4","","User Model User-Adap Inter","Knowledge tracing","","","","","","","en","","","","","link.springer.com","","","<p>This paper describes an effort to model students' changing knowledge state during skill acquisition. Students in this research are learning to write short programs with the ACT Programming<br />Tutor (APT). APT is constructed around a production rule cognitive model of programming knowledge, called the ideal student model. This model allows the tutor to solve exercises along with the student and provide assistance as necessary. As the student works, the tutor also maintains an estimate of the probability that the student has learned each of the rules in the ideal model, in a process called knowledge tracing. The tutor presents an individualized sequence of exercises to the student<br />based on these probability estimates until the student has 'mastered' each rule. The programming tutor, cognitive model and learning and performance assumptions are described. A series of studies is reviewed that examine the empirical validity of knowledge tracing and has led to modifications in the<br />process. Currently the model is quite successful in predicting test performance. Further modifications in the modeling process are discussed that may improve performance levels.</p> <p><strong>Conclusion</strong></p> <blockquote> <p>We started this research effort with an executable cognitive model of Lisp programming skill. This model consisted of a set of ideal production rules and formed the core of a successful intelligent programming tutor. The goal of the research was to implement a simple student modeling process that would allow the tutor to monitor the student's knowledge state and tailor the sequence of practice exercises to the student's needs. The resulting knowledge tracing process models the student<br />as an overlay of the production rules and the mastery-based curriculum structure allows us to associate each programming action with a single production rule. A simple two-state learning model enables us to estimate the student's knowledge<br />state from performance and predict performance from that knowledge state. Successive evaluations led us to (1) abandon an initial ideal student model and to model a sufficient set of rules, (2) to model differences in rule difficulty and (3) to model individual differences among students in learning and performance. The resulting model predicts student performance quite well and enables most students<br />to reach a high level of task performance. It may be possible to improve on this level of performance and enable more students to reach mastery by manipulating incentive in testing, by providing additional procedural practice or by monitoring and remediating students' knowledge of key declarative concepts.</p> </blockquote>","C:\Users\Josh\AppData\Roaming\Zotero\Zotero\Profiles\v5jeaqhe.default\zotero\storage\TKFWXRS2\Corbett and Anderson - 1994 - Knowledge tracing Modeling the acquisition of pro.pdf; C:\Users\Josh\AppData\Roaming\Zotero\Zotero\Profiles\v5jeaqhe.default\zotero\storage\JRTIZ8GA\BF01099821.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N32XA5XI","book","2015","Matsuda, Noboru|Furukawa","Machine Beats Experts: Automatic Discovery of Skill Models for Data-Driven Online Course Refinement","","","","","http://eric.ed.gov/?id=ED560513","How can we automatically determine which skills must be mastered for the successful completion of an online course? Large-scale online courses (e.g., MOOCs) often contain a broad range of contents frequently intended to be a semester's worth of materials; this breadth often makes it difficult to articulate an accurate set of skills and knowledge (i.e., a skill model, or the QMatrix). We have developed an innovative method to discover skill models from the data of online courses. Our method assumes that online courses have a pre-defined skill map for which skills are associated with formative assessment items embedded throughout the online course. Our method carefully exploits correlations between various parts of student performance, as well as in the text of assessment items, to build a superior statistical model that even outperforms human experts. To evaluate our method, we compare our method with existing methods (LFA) and human engineered skill models on three Open Learning Initiative (OLI) courses at Carnegie Mellon University. The results show that (1) our method outperforms human-engineered skill models, (2) skill models discovered by our method are interpretable, and (3) our method is remarkably faster than existing methods. These results suggest that our method provides a significant contribution to the evidence-based, iterative refinement of online courses with a promising scalability. [For complete proceedings, see ED560503.]","2015-06","2016-12-21 18:18:55","2016-12-21 18:18:55","2016-12-19 20:45:42","","","","","","","Machine Beats Experts","","","","","International Educational Data Mining Society","","en","","","","","ERIC","","","<p><strong>Summary</strong></p> <p>How can we automatically determine which skills must be<br />mastered for the successful completion of an online course?<br />Large-scale online courses (e.g., MOOCs) often contain a broad<br />range of contents frequently intended to be a semester’s worth of materials; this breadth often makes it difficult to articulate an<br />accurate set of skills and knowledge (i.e., a skill model, or the QMatrix). We have developed an innovative method to discover<br />skill models from the data of online courses. Our method assumes<br />that online courses have a pre-defined skill map for which skills<br />are associated with formative assessment items embedded<br />throughout the online course. Our method carefully exploits<br />correlations between various parts of student performance, as well as in the text of assessment items, to build a superior statistical model that even outperforms human experts. To evaluate our method, we compare our method with existing methods (LFA) and human engineered skill models on three Open Learning Initiative (OLI) courses at Carnegie Mellon University. The results show that (1) our method outperforms human-engineered skill models, (2) skill models discovered by our method are interpretable, and (3) our method is remarkably faster than<br />existing methods. These results suggest that our method provides<br />a significant contribution to the evidence-based, iterative<br />refinement of online courses with a promising scalability.</p> <p>The&nbsp; method outperforms human-engineered skill models,</p> <p>The skill models discovered by the method are interpretable, and</p> <p>The method is remarkably faster than existing methods.</p> <p>We can use this technique to evaluate instructional design/rubrics against student performance within a course. This can be used to identify gaps in entry-level skills needed for performing well in the educational system.</p>","C:\Users\Josh\AppData\Roaming\Zotero\Zotero\Profiles\v5jeaqhe.default\zotero\storage\Z8969ZCW\Matsuda - 2015 - Machine Beats Experts Automatic Discovery of Skil.pdf; C:\Users\Josh\AppData\Roaming\Zotero\Zotero\Profiles\v5jeaqhe.default\zotero\storage\NWJN9WIA\eric.ed.gov.html","","","Automation; Comparative Analysis; correlation; data; Formative Evaluation; Models; Online Courses; Skills","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3P2CT35Z","webpage","","","Passing the Privacy Test as Student Data Laws Take Effect (EdSurge News)","EdSurge","","","","https://www.edsurge.com/news/2016-01-12-passing-the-privacy-test-as-student-data-laws-take-effect","On January 1, 2016, “ 	SOPIPA”—the recently passed California student data privacy law that defines how edtech companies can use student data became effective. About 25 other states have passed similar laws that are already in effect, or will become effective.  At the same time, more than 200 sc","","2016-12-21 18:18:55","2016-12-21 18:18:55","2016-12-19 20:38:44","","","","","","","","","","","","","","","","","","","","","","","C:\Users\Josh\AppData\Roaming\Zotero\Zotero\Profiles\v5jeaqhe.default\zotero\storage\CZTNGDNM\2016-01-12-passing-the-privacy-test-as-student-data-laws-take-effect.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"948T2S6B","webpage","","","r - How to statistically compare two time series? - Cross Validated","","","","","http://stats.stackexchange.com/questions/19103/how-to-statistically-compare-two-time-series","","","2016-12-21 18:18:55","2016-12-21 18:18:55","2016-12-21 18:07:50","","","","","","","r - How to statistically compare two time series?","","","","","","","","","","","","","","","","C:\Users\Josh\AppData\Roaming\Zotero\Zotero\Profiles\v5jeaqhe.default\zotero\storage\3NVP7J5S\how-to-statistically-compare-two-time-series.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X7GTFPR8","webpage","","","Saturday Morning Breakfast Cereal - Clock","","","","","http://www.smbc-comics.com/index.php?id=3978","","","2016-12-21 18:18:55","2016-12-21 18:18:55","2016-12-19 20:43:26","","","","","","","","","","","","","","","","","","","","","","","C:\Users\Josh\AppData\Roaming\Zotero\Zotero\Profiles\v5jeaqhe.default\zotero\storage\RVQGTTAM\index.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
