"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ABCD2345","webpage","","Center for History and New Media","Zotero Quick Start Guide","","","","","http://zotero.org/support/quick_start_guide","","","2016-09-12 19:30:04","2016-09-12 19:30:04","","","","","","","","","","","","","","","","","","","","","","","<p><strong>Welcome to Zotero!</strong></p><p>View the Quick Start Guide to learn how to begin collecting, managing, citing, and sharing your research sources.</p><p>Thanks for installing Zotero.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W3QXHSW9","webpage","","","quick_start_guide [Zotero Documentation]","","","","","https://www.zotero.org/support/quick_start_guide","","","2016-09-12 19:32:22","2016-09-12 19:32:22","2016-09-12 19:32:22","","","","","","","","","","","","","","","","","","","","","","","/Users/ziide/Library/Application Support/Zotero/Profiles/v5un4alg.default/zotero/storage/U7QBFKJT/quick_start_guide.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z4DUZ9BW","journalArticle","2010","Bowers, Alex J.","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","Practical Assessment, Research & Evaluation","","1531-7714","","","School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)","2010-05","2016-09-13 16:05:27","2016-09-13 16:05:27","2014-09-24 19:31:29","","","7","15","","","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students","","","","","","","en","","","","","ERIC","","","<p>This paper examines data driven decision making by using hierarchical cluster analysis (HCA) with a heatmap on the grade history of k12 students to predict dropouts. The outcome of the study, though similar when compare to a regression analysis in predicting student dropouts, differs in the successful demonstration of individual data through clustering rather than an aggregation of the entire data set.</p> <p>The use of heat map with clustering is rather inspiring since they together facilitates the visualization and comparison of assigned grades for subjects and subgroups. It maybe interesting to apply clustering, heat map and the idea of mixing for educational resource distribution across a country.</p> <p>&nbsp;</p>","","http://eric.ed.gov/?id=EJ933686","","data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KR9FI2GB","journalArticle","2014","Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","CBE-Life Sciences Education","",", 1931-7913","10.1187/cbe.13-08-0162","http://www.lifescied.org/content/13/2/167","Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.","2014-06-20","2016-09-13 16:05:28","2016-09-13 16:05:28","2014-08-20 20:21:46","167-178","","2","13","","CBE Life Sci Educ","Understanding Classrooms through Social Network Analysis","","","","","","","en","","","","","www.lifescied.org","","","<ul> <li>Analyze students’ social interactions in the context of classrooms to see how that relationship impacts their study – individual and community level over time (relational data and Social Network Analysis).</li> <li>Basic concepts in SNA <ul> <li>How relationships form and these relationships’ impact on actors, also called nodes (individuals, organizations, websites). A group of actors make up a network.</li> <li>Network types:</li> </ul> </li> </ul> <p>1)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; unipartite (author to author, student to student – only one type of actor), bipartite (author to paper, student to classes – actors with the groups they belong)</p> <p>2)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; undirected: ties between actors are bidirectional / directed: associated direction, one think this of the other, but they other does not necessarily think one in the same way.</p> <p>3)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Binary ties: examine a relation’s existence/ valued ties: consider quantitative information about a relation</p> <ul> <li>Data collection</li> </ul> <p>1)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Time frame (static, implicitly dynamic, explicitly dynamic- multiple and continuous data collection)</p> <p>2)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sample selection: <span style=""text-decoration: underline;"">ego-centric</span> (examine individuals and their local social atmosphere, easier in terms of data collection, ethnics, and subjects view)/ <span style=""text-decoration: underline;"">census networks</span>, or whole networks (large population of actors, also examine network structures) challenges of census networks: hard to collect data, need to find a population, miss connection that is not included in the population of interests (student to teaching assistant, when the relationship being examined is student to student), withdraw and adding in variables, nonresponse.</p> <p>3)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; How many ties are present and who is connected with whom (homophily – social selection, or work together because of same attributes and social influence, or one is influenced and changed by another in terms of attributes because they work together) *What if the connection is mixture of both?</p> <p>4)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Dyad-level analysis VS Triads (transitive triad – hierarchy, one giving and one receiving &amp; cyclical triad – egalitarianism, everyone giving and receiving)</p> <p>5)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Centrality: Degree centrality (total number of connections), Betweenness centrality (role of bridges between two actors, airport example), Closeness centrality (how close one actor is to the other),&nbsp; Eigenvector centrality (being connected to other <span style=""text-decoration: underline;"">well-connected</span> individuals)</p> <ul> <li>Methods and Concerns for Data Collection</li> </ul> <p>1)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Avoid overuse of survey: collect background information from instructor and institution</p> <p>2)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Closed-ended format: limit error, easier to process, but can lead to name confusions. Make sure the choices are varied and comprehensive.</p> <p>3)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Timing: earliest possible to avoid forgetting, class withdrawal, etc. /regular intervals or around important events.</p> <p>4)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; IRB and consent: problem of authority, anonymous and identifiers removal.</p>","","http://www.lifescied.org/content/13/2/167","Week 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IGP2FBZ4","blogPost","2014","Young, Jeffrey R.","Why Students Should Own Their Educational Data","The Chronicle of Higher Education Blogs: Wired Campus","","","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","2014-08-21","2016-09-13 16:05:28","2016-09-13 16:05:28","2014-08-23 21:32:22","","","","","","","","","","","","","","","","","","","","","","<ul> <li>I found Mr. Rose’ example of the cockpit inspiring. When I looked through the comments below, I saw some readers responded to the text by stating that the idea would be fall apart with a large student body. However, I wanted to say the idea of “customization” is not news, we have been seeing fashion merchandise allow people to design their own types of shoes on the website. Of course, one’s learning process could be much more complex than designing a shoe, but I think it is still doable if we divide the process into manageable small pieces.</li> <li>I think it is a fantastic idea to not force students into the mode of average, but give them a chance to learn and grow within a broader range that only indicates the highest point and the lowest one, so they have enough room to change and develop. Then the question comes what are the edges in a classroom if we were to “ban the average” and “design to edges?”&nbsp;</li> <li>How do we find the adjustable seat in a learning classroom? Mr. Rose’s solution is to use technology to customize teaching materials. I also heard about differentiated instruction that focused on pedagogical strategy.</li> <li>I agreed with Mr. Rose that we do not have enough data in the past to analyze and respond to individual’s needs. It will be unrealistic to think that teachers will go through each student profile to understand their interests, conduct face-to-face interview with them to learn about their past experiences, hold a parent conference to learn about their home environment. &nbsp;But now with technology, we can collect, store, and analyze data about students in a way we could never think of before.</li> <li>The interview touched on ideas such as the difference between MOOC and traditional classroom, and the transparency and ownership of data, I would like it to expand more on these two topics though since I feel it is not thoroughly explained.</li> </ul>","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63WIRW32","journalArticle","1994","Corbett, Albert T.; Anderson, John R.","Knowledge tracing: Modeling the acquisition of procedural knowledge","User Modeling and User-Adapted Interaction","","0924-1868, 1573-1391","10.1007/BF01099821","http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/BF01099821","This paper describes an effort to model students' changing knowledge state during skill acquisition. Students in this research are learning to write short programs with the ACT Programming Tutor (APT). APT is constructed around a production rule cognitive model of programming knowledge, called theideal student model. This model allows the tutor to solve exercises along with the student and provide assistance as necessary. As the student works, the tutor also maintains an estimate of the probability that the student has learned each of the rules in the ideal model, in a process calledknowledge tracing. The tutor presents an individualized sequence of exercises to the student based on these probability estimates until the student has ‘mastered’ each rule. The programming tutor, cognitive model and learning and performance assumptions are described. A series of studies is reviewed that examine the empirical validity of knowledge tracing and has led to modifications in the process. Currently the model is quite successful in predicting test performance. Further modifications in the modeling process are discussed that may improve performance levels.","1994-12-01","2016-09-13 16:05:28","2016-09-13 16:05:28","2013-04-21 21:21:19","253-278","","4","4","","User Model User-Adap Inter","Knowledge tracing","","","","","","","en","","","","","link.springer.com.ezp-prod1.hul.harvard.edu","","","<p>The paper manages to make progress and not settle with the initial knowledge tracing model based on probability but rather validates the study with experiments and successive modifications that help to address the individuality of rules and students.</p> <p>It is interesting to see the test performance evaluation be broken down into two factors, knowledge of the rules and performance parameters. Within the performance parameters, the slip factor determines how well the students can apply the mastery of the knowledge. In other words, knowledge of the rules does not guarantee the application of them. The slip factor is worth further analysis to take into account students' other skills and characteristics that are difficult to measure during the exam, such as time management, flexibility, and ability to work under pressure.</p>","","","","Education (general); empirical validity; individual differences; intelligent tutoring systems; Learning; Management of Computing and Information Systems; mastery learning; Multimedia Information Systems; procedural knowledge; Psychology, general; student modeling; User Interfaces and Human Computer Interaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QZB4TN2G","conferencePaper","2012","Siemens, George; Baker, Ryan S. J. d.","Learning Analytics and Educational Data Mining: Towards Communication and Collaboration","Proceedings of the 2Nd International Conference on Learning Analytics and Knowledge","978-1-4503-1111-3","","10.1145/2330601.2330661","http://doi.acm.org/10.1145/2330601.2330661","Growing interest in data and analytics in education, teaching, and learning raises the priority for increased, high-quality research into the models, methods, technologies, and impact of analytics. Two research communities -- Educational Data Mining (EDM) and Learning Analytics and Knowledge (LAK) have developed separately to address this need. This paper argues for increased and formal communication and collaboration between these communities in order to share research, methods, and tools for data mining and analysis in the service of developing both LAK and EDM fields.","2012","2016-09-13 16:05:28","2016-09-13 16:05:28","2015-01-16 03:15:55","252–254","","","","","","Learning Analytics and Educational Data Mining","","","","","ACM","New York, NY, USA","","","","","","ACM Digital Library","","","<p><strong>Methods used in LA and EDM</strong></p> <p><span style=""text-decoration: underline;"">What are they?</span></p> <p><span style=""text-decoration: underline;"">How are they used? examples?</span></p> <p><span style=""text-decoration: underline;"">compare and contrast the methods used</span></p> <p>The methods used in LA seem to be more qualitative and more human oriented while in EDM the methods are more quantitative and statistical, that is, they focus on exploring the features of the data itself rather than trying to link the data with specific human beings.</p> <p><span style=""text-decoration: underline;"">pros and cons?</span></p> <p>EDM is more factual, less complex than LA? (see complement)</p> <p><span style=""text-decoration: underline;"">what are the areas where these two overlap?</span></p> <p>They both focus on the study of education data.</p> <p><span style=""text-decoration: underline;"">complementaries?In what ways and can LA and EDM cooperate with each other</span></p> <p>If EDM is alone without LA, it seems it is an analysis without context. However, if it is LA without EDM, it seems like we are not able to isolate the effect of the individual and focus on observing the facts. EDM seems like the logical side while LA is incorporating the logic with more complex human behaviors.</p> <p><span style=""text-decoration: underline;"">insufficiencies even when applying both?</span></p> <p>Look at the transition between the methods? What are the gaps? One of the difficulties is measure. How can the data be truly representative of the population? (measure, bias, non scientific, the immeasurable part)</p> <p><strong>Learning Analytics (LA) Methods</strong></p> <p><strong>Social network analysis</strong></p> <p>- Dots and joint lines representing the relationship between humans</p> <p>- Ways to monitor there similarities, interactions, influence, and etc.</p> <p>- Used the concepts of graph theory</p> <p><strong>Sentiment analysis</strong></p> <p>- An analysis of sentiments expressed through language use</p> <p>l&nbsp; An example would be analyzing the positive and negative feelings expressed through social media.</p> <p><strong>influence analytics??</strong></p> <p>1. Analyze the influence of the data point in generating the pattern</p> <p><strong>discourse analysis</strong></p> <p>1. Analyze the language in written communication or debate to provide the trend.</p> <p><strong>learner success prediction</strong></p> <p>1. Through both quantitative and qualitative measures, predict the learning outcome.</p> <p><strong>concept analysis</strong></p> <p>1. Analyze the concept used in teaching , the fundamentals, to what extent can be understood by students and how do concepts build upon each other? The transition, interrelation, progression, combination, and application.</p> <p><strong>sensemaking models</strong></p> <p>1. In what ways do students make sense of the learning material? What, how, and how much do they understand? Why is it easier to make sense of something than the other?</p> <p><strong>Educational Data Mining (EDM) Methods</strong></p> <p><strong>Classification</strong></p> <p>1. Classification method identifies the character of data points and allows for categorization (can be supervised or unsupervised)</p> <p>*mapping an unlabeled instance to a discrete class by a classifier&nbsp;[categorical]</p> <p>regression (a type of classification) mapping from an unlabeled instance to a value with a continuous range</p> <p>example: identify a student as having a math test score of 70 based on online assignment performance</p> <p>[continuous, numerical: assignment of value]</p> <p>&nbsp;</p> <p><strong>Clustering</strong></p> <p>1. The clustering method allows us to group data with similar features together for further observation. Multiple levels of relationship can exist between any two data points, for example, the relationship can be single direction, mutual, or just existing.</p> <p>* a type of unsupervised learning</p> <p>&nbsp;</p> <p>&nbsp;</p> <p><strong>Bayesian modeling</strong></p> <p>1. Not sure, a method related to probability distribution?</p> <p><strong>relationship mining</strong></p> <p>1. Method to find out the relationship between data points and allows the automation to predict the relationship between the observed points and any additional data.</p> <p><strong>discovery with models</strong></p> <p>1. Use different models to fit and analyze data to discover the behavior of the data</p> <p><strong>visualization</strong></p> <p>1. Use graphics to illustrate the data and facilitate the understanding of underlying statistics.</p> <p>&nbsp;</p> <p>&nbsp;</p>","","","","Collaboration; educational data mining; learning analytics and knowledge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9PZ9BQ6J","book","2015","Zheng, Alice","Evaluating Machine Learning Models","","","","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","Data science today is a lot like the Wild West: there’s endless opportunity and excitement, but also a lot of chaos and confusion. If you’re new to data science and applied machine learning, evaluating a machine-learning model can seem pretty overwhelming...","2015-09","2016-09-13 16:05:28","2016-09-13 16:05:28","2015-12-15 18:26:39","","","","","","","","","","","","O'Reily Media","Sebastopol, CA","","","","","","","","","<p class=""Heading2"">p7-18 talks about evaluations of classification metrics, ranking metrics, and regression metrics as well as cautions in training and evaluating metrics and skewed data sets. The gist of each section is as following.</p> <h1 class=""Heading2""><strong>Classification Metrics</strong></h1> <p class=""Heading2"">Classification is about predicting class labels given input data.</p> <h3 class=""Heading2""><strong>Accuracy</strong></h3> <p class=""Heading2"">the ratio between the number of correct predictions and the total number of predictions (the number of data points in&nbsp;&nbsp; the test set)</p> <h3 class=""Heading3""><strong>Confusion Matrix</strong></h3> <p>One might want to look at how many examples failed for class 0 versus class 1, because the cost of misclassification might differ for the two classes, or one might have a lot more test data of one class than the other.</p> <h3 class=""Heading3""><strong>Per-Class Accuracy</strong></h3> <p>When the classes are imbalanced, i.e., there are a lot more examples of one class than the other, then the accuracy will give a very distorted picture, because the class with more examples will dominate the statistic.</p> <p>few examples of one class, then test statistics for that class will have a large variance, which means that its accuracy estimate is not as reliable as other classes.</p> <h3 class=""Heading3""><strong>Log-Loss</strong></h3> <p>if the raw output of the classifier is a numeric probability instead of a class label of 0 or 1, then log-loss can be used.</p> <p>Log-loss is a “soft” measurement of accuracy that incorporates this idea of probabilistic confidence.</p> <p>related to what’s known as the relative entropy, or Kullback–Leibler divergence.</p> <h3 class=""Heading3""><strong>AUC</strong></h3> <p>The ROC curve shows the sensitivity of the classifier by plotting the rate of true positives to the rate of false positives.</p> <p>how many correct positive classifications can be gained as you allow for more and more false positives</p> <h1 class=""Heading2""><strong>Ranking Metrics</strong></h1> <h3 class=""Heading3""><strong>Precision-Recall</strong></h3> <p>Precision answers the question, “Out of the items that the ranker/classifier predicted to be relevant, how many are truly rele‐ vant?” Whereas, recall answers the question, “Out of all the items that are truly relevant, how many are found by the ranker/classifier?”</p> <h3 class=""Heading3""><strong>Precision-Recall Curve and the F1 Score</strong></h3> <p>By plotting precision versus recall over a range of k values, we get the precision-recall curve. This is closely related to the ROC curve.</p> <p>One way of combining these two numbers is via their <em>harmonic mean</em>:</p> <p><em>F1 = 2* precision*recall / (precision + recall)</em></p> <p>Unlike the arithmetic mean, the harmonic mean tends toward the smaller of the two elements. Hence the F1 score will be small if either precision or recall is small.</p> <h3 class=""Heading3""><strong>NDCG</strong></h3> <p>DCG and NDCG are important metrics in information retrieval and in any application where the positioning of the returned items is important.</p> <p>NDCG stands for normalized discounted cumulative gain. There are three closely related metrics here: cumulative gain (CG), discounted cumulative gain (DCG), and finally, normalized discounted cumulative gain. Cumulative gain sums up the relevance of the top k items. Discoun‐ ted cumulative gain discounts items that are further down the list. Normalized discounted cumulative gain, true to its name, is a nor‐ malized version of discounted cumulative gain. It divides the DCG by the perfect DCG score, so that the normalized score always lies between 0.0 and 1.0.</p> <h1 class=""Heading2"">Regression Metrics</h1> <h3 class=""Heading3"">RMSE</h3> <p>This is defined as the square root of the average squared distance between the actual score and the predicted score.</p> <p>Euclidean distance between the vector of the true scores and the vector of the predicted scores, averaged by <em>n</em>, where <em>n </em>is the number of data points.</p> <h3>* sensitive to large outliers</h3> <h3 class=""Heading3"">Quantiles of Errors</h3> <p>robust estimators of performance that aren’t affected by large outliers, such as: median absolute percentage:</p> <p>MAPE = median (|(yi – yi )/ yi|)</p> <p>It gives us a relative measure of the typical error.</p> <h3 class=""Heading3"">“Almost Correct” Predictions</h3> <p>Perhaps the easiest metric to interpret is the percent of estimates that differ from the true value by no more than X%. The choice of X depends on the nature of the problem.</p> <p class=""Heading2"">&nbsp;</p> <h1 class=""Heading2"">Caution: The Difference Between Training Metrics and Evaluation Metrics</h1> <p>Sometimes, the model training procedure may use a different metric (also known as a loss function) than the evaluation. This can happen when we are reappropriating a model for a different task than it was designed for.</p> <p>It is always better to train the model to directly optimize for the metric it will be evaluated on.</p> <p class=""Heading2"">&nbsp;</p> <h1 class=""Heading2"">Caution: Skewed Datasets—Imbalanced Classes, Outliers, and Rare Data</h1> <p>If class imbalance is not properly dealt with, the resulting model may not know how to pre‐ dict the rare classes at all.</p> <p>Large outliers can cause problems for a regressor.</p> <p>Effective solutions for large outliers would probably involve careful data cleaning, and perhaps reformulating the task so that it’s not sensitive to large outliers.</p> <p>&nbsp;</p> <p>&nbsp;</p>","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39HIM2J6","blogPost","2015","Leong, B; Polonetsky, J","Why Opting Out of Student Data Collection Isn’t the Solution","EdSurge","","","","https://www.edsurge.com/news/2015-03-16-why-opting-out-of-student-data-collection-isn-t-the-solution","In every privacy debate across every industry, the same questions arise about the rights of individuals to “opt-out” of their data being collected or used. So it should come as no surprise that the “when” and “how” of parent and student opt-outs of education data collection or use has become a robust","2015-03-16","2016-09-13 16:05:28","2016-09-13 16:05:28","2016-01-16 16:31:25","","","","","","","","","","","","","","","","","","","","","","","","https://www.edsurge.com/news/2015-03-16-why-opting-out-of-student-data-collection-isn-t-the-solution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8QJ4CFRH","videoRecording","2015","Educause","Why Is Measuring Learning So Difficult?","","","","","https://www.youtube.com/watch?v=_iv8A1pHNYA","Several higher education learning and assessment professionals discuss the difficulties of measuring learning.","2015-08-17","2016-09-13 16:05:28","2016-09-13 16:05:28","2016-01-17 18:50:57","","","","","","","","","","","","","","","","","","","YouTube","","","<p>I like the idea that analytics should not just be a diagnosis of what is happening now, but what else is possible. Since learning is dynamic and multidimensional, assessment should be an ongoing process that evaluate growth over time and promote further development, rather than a conclusion of what happened to the test and assign a fixed label to the learner.</p> <p><br />Moreover, measuring learning is difficult because the measurements are usually oversimplifications, such that we may throw away the signal and keep the noise. Moreover, the definition of learning concerns many aspects and can be composed of multiple levels, such as memorizing, understanding, applying, relating to another subject, communicating to another person. No simple test can encompass them all.</p> <p><br />The video also reminds me of the idea of customization. I understand that people’s decisions are shaped by their various backgrounds, personalities, and social context, but the business companies do not simply say, “Oh, it is so difficult to meet every individual’s needs because people are complex.” Rather, they provide opportunities for people to customize their goods, collect data about customers’ interests and send advertisement materials accordingly. I think being aware of the complexity and challenge of something is the first step; the next is to collect data, design methods to respond to the question.<br /><br /></p>","","","","Assessment; Education; educational assessment; EDUCAUSE; Higher Education; learners; Learning; Teaching and learning","","","","","","","","","","","","","","","","","","","","","470 seconds","","","","","","","","","","","","","","","","","","","","","","","","",""
