Key	Item Type	Publication Year	Author	Title	Publication Title	ISBN	ISSN	DOI	Url	Abstract Note	Date	Date Added	Date Modified	Access Date	Pages	Num Pages	Issue	Volume	Number Of Volumes	Journal Abbreviation	Short Title	Series	Series Number	Series Text	Series Title	Publisher	Place	Language	Rights	Type	Archive	Archive Location	Library Catalog	Call Number	Extra	Notes	File Attachments	Link Attachments	Manual Tags	Automatic Tags	Editor	Series Editor	Translator	Contributor	Attorney Agent	Book Author	Cast Member	Commenter	Composer	Cosponsor	Counsel	Interviewer	Producer	Recipient	Reviewed Author	Scriptwriter	Words By	Guest	Number	Edition	Running Time	Scale	Medium	Artwork Size	Filing Date	Application Number	Assignee	Issuing Authority	Country	Meeting Name	Conference Name	Court	References	Reporter	Legal Status	Priority Numbers	Programming Language	Version	System	Code	Code Number	Section	Session	Committee	History	Legislative Body
HH7FVM4V	journalArticle	2010	"Bowers, Alex J."	"Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis"	"Practical Assessment, Research & Evaluation"		1531-7714			"School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)"	2010-05	9/13/16 16:06	9/13/16 16:06	9/24/14 19:31			7	15			Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students							en					ERIC			"<ul> <li>Hierarchical cluster analysis and pattern visualization</li> <li>Clustergram: Visualization for every data points!</li> <li>Argue about the clustergram and actual implementations</li> <li>data mining usually focused on identifying and finding a pattern for the data</li> <li>After conducting Hierarchical cluster analysis,&nbsp; students who had low grades dropped out -&gt; which is obvious</li> <li>IT SHOWS but using grade for predicting drop out is not accurate because:overly concerned in core course failure<br />, other studies have been using other variables also to figure the drop rates but this study didn't<br />, and even if the past studies have focused on different factors, they did not compare across the grades</li> <li>Much more holistic view is needed</li> <li>3DM pre teachers data + elementary schools' data, not showing interesting results.</li> </ul>"		http://eric.ed.gov/?id=EJ933686		data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students																																														
UPSHGMV9	journalArticle	2014	"Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M."	Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research	CBE-Life Sciences Education		", 1931-7913"	10.1187/cbe.13-08-0162	http://www.lifescied.org/content/13/2/167	"Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data."	6/20/14	9/13/16 16:06	9/13/16 16:06	8/20/14 20:21	167-178		2	13		CBE Life Sci Educ	Understanding Classrooms through Social Network Analysis							en					www.lifescied.org			"<p>Which would yield better SNA result and better achievement for final projects: Group defined by professor or group made by students? I feel like group defined by students would yield more extreme performances while students who were grouped by professor would be showing more average performances between group.</p> <p>Actor=nodes</p> <p>Unipartite= one mode - one type of actor/ bipartite=twomode - actor in the group</p> <p>ties between actor/ bidirectional = undirected</p> <p>density= how much network is connected between each other more the dense</p> <p>how many ties/who is connected with whom?</p> <p>homophilly= connected with similar interest with disproponately (based from social selection - finding for A student and social influence - studying with A student)</p> <p>triad and transitivity</p> <p>Centerality(degree,closeness,betweeness, eigenvector)</p> <p>Degree centrality - number of connectionsnot significant result turned out but it will be found out with different methods in the future</p>"		http://www.lifescied.org/content/13/2/167	Week 2																																															
JXPD425U	blogPost	2014	"Young, Jeffrey R."	Why Students Should Own Their Educational Data	The Chronicle of Higher Education Blogs: Wired Campus				http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329		8/21/14	9/13/16 16:06	9/13/16 16:06	8/23/14 21:32																						"<p>&nbsp;Especially in the context like mooc, it becomes meaningless to find the average learner because there are so many different level students coming into the program and it would not be accurate enough to average them. To some it would be too easy, and too others it would be too hard. But since Mooc has to show their result, at their initial stages, they might have to use the averaged data (which would mean nothing).</p>"		http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329																																																
P9N8HC2I	journalArticle	1994	"Corbett, Albert T.; Anderson, John R."	Knowledge tracing: Modeling the acquisition of procedural knowledge	User Modeling and User-Adapted Interaction		"0924-1868, 1573-1391"	10.1007/BF01099821	http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/BF01099821	"This paper describes an effort to model students' changing knowledge state during skill acquisition. Students in this research are learning to write short programs with the ACT Programming Tutor (APT). APT is constructed around a production rule cognitive model of programming knowledge, called theideal student model. This model allows the tutor to solve exercises along with the student and provide assistance as necessary. As the student works, the tutor also maintains an estimate of the probability that the student has learned each of the rules in the ideal model, in a process calledknowledge tracing. The tutor presents an individualized sequence of exercises to the student based on these probability estimates until the student has ‘mastered’ each rule. The programming tutor, cognitive model and learning and performance assumptions are described. A series of studies is reviewed that examine the empirical validity of knowledge tracing and has led to modifications in the process. Currently the model is quite successful in predicting test performance. Further modifications in the modeling process are discussed that may improve performance levels."	12/1/94	9/13/16 16:06	9/13/16 16:06	4/21/13 21:21	253-278		4	4		User Model User-Adap Inter	Knowledge tracing							en					link.springer.com.ezp-prod1.hul.harvard.edu			"<p>How to achieve mastery learning</p> <p>1) domain knowledge is analyzed and stored in the hierarhical way</p> <p>2)Learning experience are requisite for tackling the higher concept</p> <p>cognitive model of skill acqusitioin, goal of mastery of learning in mind</p> <ol> <li>The ACT programming tutor</li> <li>The cognitive model</li> <li>Knowledge tracing and mastery learning</li> <li>Empirical evaluation of Knowledge tracing</li> <li>Future directions</li> </ol>"				"Education (general); empirical validity; individual differences; intelligent tutoring systems; Learning; Management of Computing and Information Systems; mastery learning; Multimedia Information Systems; procedural knowledge; Psychology, general; student modeling; User Interfaces and Human Computer Interaction"																																														
ZM5MZSWN	conferencePaper	2012	"Siemens, George; Baker, Ryan S. J. d."	Learning Analytics and Educational Data Mining: Towards Communication and Collaboration	Proceedings of the 2Nd International Conference on Learning Analytics and Knowledge	978-1-4503-1111-3		10.1145/2330601.2330661	http://doi.acm.org/10.1145/2330601.2330661	"Growing interest in data and analytics in education, teaching, and learning raises the priority for increased, high-quality research into the models, methods, technologies, and impact of analytics. Two research communities -- Educational Data Mining (EDM) and Learning Analytics and Knowledge (LAK) have developed separately to address this need. This paper argues for increased and formal communication and collaboration between these communities in order to share research, methods, and tools for data mining and analysis in the service of developing both LAK and EDM fields."	2012	9/13/16 16:06	9/13/16 16:06	1/16/15 3:15	252–254						Learning Analytics and Educational Data Mining					ACM	"New York, NY, USA"						ACM Digital Library			"<p>After reading this article, I felt like LAK should be implemented more in children's learning (until elementary school) and EDM model should be implemented in adolescents and adult learning. I felt like at least people at their adolescent age can define what they know and what they do not know, so they might be better at utilizing the resources rather than children in their elementary schools where still fundamental learning has to be done.</p>; <p>difference between LAK and EDM</p> <p>EDM=rooted in tech field, LA=ed field</p> <p>EDM= Automation/tech driven, LA= using tech as a tool to enhance human judgement</p> <p>methodological difference</p> <p>&nbsp;EDM = machine learning LA=text&amp;SNA</p> <p>EDM =individual LA= holistic</p> <p>Challenge of intergrating the tech and ed</p>"				Collaboration; educational data mining; learning analytics and knowledge																																														
8UQJXKBN	journalArticle	2008	"Baker, Ryan S. J. d; Corbett, Albert T.; Roll, Ido; Koedinger, Kenneth R."	Developing a generalizable detector of when students game the system	User Modeling and User-Adapted Interaction		"0924-1868, 1573-1391"	10.1007/s11257-007-9045-6	http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/s11257-007-9045-6	"Some students, when working in interactive learning environments, attempt to “game the system”, attempting to succeed in the environment by exploiting properties of the system rather than by learning the material and trying to use that knowledge to answer correctly. In this paper, we present a system that can accurately detect whether a student is gaming the system, within a Cognitive Tutor mathematics curricula. Our detector also distinguishes between two distinct types of gaming which are associated with different learning outcomes. We explore this detector’s generalizability, and find that it transfers successfully to both new students and new tutor lessons."	8/1/08	9/13/16 16:06	9/13/16 16:06	1/16/15 16:33	287-314		3	18		User Model User-Adap Inter								en					link.springer.com.ezp-prod1.hul.harvard.edu			"<p>Students who are gaining the system: students who do not work hard to gain information from the course material itself and just trying to gain it by ""gaming the system"" searching through other aspects of the tutorial, quickly asking for help, answering numbers quickly</p> <p>-&gt; System can detect this!</p> <p>accurately detects which students game the system</p> <p>gaming behavior does not happen abruptly: when bored or hard - possibility of creating learning intervention</p> <p>expands our knowledge about the behavioral constructs of gaming the system</p> <p>can generalize between the context</p>"		http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/s11257-007-9045-6		Behavior detection; Cognitive tutors; Education (general); Gaming the system; Generalizable models; Interactive learning environments; Latent response models; Machine learning; Management of Computing and Information Systems; Multimedia Information Systems; student modeling; User Interfaces and Human Computer Interaction																																														
GN9JQVJW	book	2015	"Zheng, Alice"	Evaluating Machine Learning Models					http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page	"Data science today is a lot like the Wild West: there’s endless opportunity and excitement, but also a lot of chaos and confusion. If you’re new to data science and applied machine learning, evaluating a machine-learning model can seem pretty overwhelming..."	2015-09	9/13/16 16:06	9/13/16 16:06	12/15/15 18:26												O'Reily Media	"Sebastopol, CA"									"<p>Evaluation metrics</p> <p>There are different metrics for the tasks of classification, regression, ranking, clustering, topic modeling, etc.</p> <p>Classification, regression, and ranking - example of supervised learning</p> <p>Classification metrics</p> <p>&nbsp;&nbsp;&nbsp; Accuracy</p> <p>accuracy = # of correct prediction/ # total data points</p> <p>&nbsp;&nbsp;&nbsp; Confusion Matrix</p> <p>False postivie: when doctor diagnose cancer which individual actually do not have</p> <p>False negative: call for not having a cancer but they actually have one</p> <p>&nbsp;&nbsp;&nbsp; Per-Class Accuracy</p> <p>average of accuracy for each class</p> <p>if classes have extremely different result inside -&gt; problem</p> <p>&nbsp;&nbsp;&nbsp; Log-loss</p> <p>If the data set is not binary number data, we can use the log-loss. This is gauge of confidence/ decision boundary: 0.5/ information-theoretic measure to gauge the extra noise</p> <p>&nbsp;&nbsp;&nbsp; AUC</p> <p>area under the curve/Curve is ROC (Receiver operating characteristic curve) = sensitivity of the classifier by plotting the rate of true positives to the rate of false positive/ how many correct positive classification can be grained as allow more false positive</p> <p>Ranking metrics</p> <p>Binary classification/ used for Internet search &amp; personalized recommendation</p> <p>&nbsp;&nbsp;&nbsp; Precision-recall</p> <p>Also popular classification tasks</p> <p>Actually two different metric but grouped into one Correct answers comes from overlap of Returned by the ranker/ classifier and Relavant</p> <p>&nbsp;&nbsp;&nbsp; Precision recall curve and the F1 score</p> <p>if either precision or recall is small then F1 score is small</p> <p>&nbsp;&nbsp;&nbsp; NDGG</p> <p>making the top research result meaningful! Normailized discounted cumulative gain</p> <p>Regression metrics</p> <p>Predict numeric scores (predict stock, predict user's rating for the item)</p> <p>&nbsp;&nbsp;&nbsp; RMSE</p> <p>root mean square error</p> <p>&nbsp;&nbsp;&nbsp; Quantiles of errors</p> <p>catches the outliers</p> <p>&nbsp;&nbsp;&nbsp; Precision- recall curve and F1 Score</p> <p>&nbsp;&nbsp;&nbsp; Almost correct predictions</p> <p>in the range?!?!</p> <p>Caution: The difference between training metrics and evaluation metrics</p> <p>Avoid as much as possible/ do not make them work they are not programmed to</p> <p>Caution: Skewed Datasets - Imbalanced classes, outliers, and rare data</p> <p>imbalanced data, data skew, outlier -&gt; conversation with pros maybe?</p> <p>&nbsp;&nbsp;</p>"		http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page																																																
9GG36PBC	blogPost	2015	"Leong, B; Polonetsky, J"	Why Opting Out of Student Data Collection Isn’t the Solution	EdSurge				https://www.edsurge.com/news/2015-03-16-why-opting-out-of-student-data-collection-isn-t-the-solution	"In every privacy debate across every industry, the same questions arise about the rights of individuals to “opt-out” of their data being collected or used. So it should come as no surprise that the “when” and “how” of parent and student opt-outs of education data collection or use has become a robust"	3/16/15	9/13/16 16:06	9/13/16 16:06	1/16/16 16:31																						"<p>First of all, it is great that California took the initiative to</p>"		https://www.edsurge.com/news/2015-03-16-why-opting-out-of-student-data-collection-isn-t-the-solution																																																
ARS28RVG	videoRecording	2015	Educause	Why Is Measuring Learning So Difficult?					https://www.youtube.com/watch?v=_iv8A1pHNYA	Several higher education learning and assessment professionals discuss the difficulties of measuring learning.	8/17/15	9/13/16 16:06	9/13/16 16:06	1/17/16 18:50																			YouTube			"<p>Don't know where a student is starting from</p> <p>cant measure all the ways that people learn</p> <p>based on proxies, but proxies change based on context not just individual</p> <p>we have to simplify but may throw away the signal and keep the noise</p> <p>&nbsp;</p>; <p>In order to get the pure data we to much define and restrict the setting to get the data which could not be generalizable</p> <p>defining learning experience is difficult (what we are trying to measure) ; even defining what we are measuring can be difficult.</p> <p>learning is self experience and it needs to be engaged by individual themselves; motivation is the key</p> <p>competency before learning experience can be different; especially in MOOC settings</p> <p>learning as achievement or learning as a self efficacy</p> <p>&nbsp;</p>"				Assessment; Education; educational assessment; EDUCAUSE; Higher Education; learners; Learning; Teaching and learning																					470 seconds																									
QAIHSVGC	webpage	2016	"Weinersmith, Zach"	Saturday Morning Breakfast Cereal					http://www.smbc-comics.com/index.php?id=3978		1/5/16	9/13/16 16:06	9/13/16 16:06	1/18/16 18:17																						"<p>The SMBC comic reminded me of what will happen if we force our students to learn how to code and its’ consequences. But aren’t we already living in a world like this? We live in a world assuming everything is run by accurate, but we are also living in a society where sending a divorce therapist commercial email on one’s wedding anniversary based on the “big data.”</p> <p>&nbsp;</p>"		http://www.smbc-comics.com/index.php?id=3978																																																
A9Z2DGUR	conferencePaper	2014	"Clow, Doug"	Data wranglers: human interpreters to help close the feedback loop	Proceedings of the Fourth International Conference on Learning Analytics And Knowledge						2014	9/13/16 16:06	9/13/16 16:06		49–53											ACM										"<p>Wrangle means to attempt to deal with or understand something contend or struggle.</p> <p>(Contend means to strive in opposition or against difficulties (such as race,competition, debate))</p> <p>Data wranglers should be actively engage in data analyzing&nbsp; to help students who are taking the course on real time, not afterwards. Like the ""New classroom"" we visited at the start of this month!</p> <p>The article keep mentioned about substantial organizational change with real time information input from data wranglers, but now, it would be little bit hard for this to happen because many people do not know the importance of Data Wrangler! Many possible job opportunities out there?!?!</p>"																																																		
EHIHJ586	magazineArticle	2015	"Kucirkova, Natalia; FitzGerald, Elizabeth"	Zuckerberg is ploughing billions into 'personalised learning' – why?	The Conversation				http://theconversation.com/zuckerberg-is-ploughing-billions-into-personalised-learning-why-51940	"Zuckerburg wants to plough billions into personalised learning, but his way may not be the right way."	12/9/15	9/13/16 16:06	9/13/16 16:06	1/18/16 19:14																						"<p>I think if we were to implement the personalized learning through technology, we should redefine the role of school and teachers at school. It is great that all of the children gets the personalized learning, but I think we should consider what would be the end point of implementing different learning materials to students. One of the main role of the school is to teach and make students understand until the certain level of achievement not all students to do exceedingly well in every subject. If this personalized learning is implemented, teachers have to be prepared for all level of experties in his/her subject. This would not replacing human work unless there is complex algorithm to pinpoint the student's weakness.</p>"		https://theconversation.com/zuckerberg-is-ploughing-billions-into-personalised-learning-why-51940																																																
QAK2RGH6	videoRecording	2015	Georgia Tech	Feature Selection					https://www.youtube.com/watch?v=8CpRLplmdqE		2/23/15	9/13/16 16:06	9/13/16 16:06	1/18/16 19:18												Youtube										"<p>Interpretability and insight of feature - thinking about the user</p> <p>curse of dimensionality&nbsp; more feature, more contents making every one's life easier</p> <p>conclusion: make some of the data less/Feature less and data more</p> <p>&nbsp;</p>"		https://www.youtube.com/watch?v=8CpRLplmdqE															Udacity								3:13																									
ZQRA7ET6	bookSection	2016	"Hanneman, R.A.; Riddle, M."	Chapter 1: Social Network Data	Introduction to Social Network Methods				http://faculty.ucr.edu/~hanneman/nettext/C1_Social_Network_Data.html		1/18/16	9/13/16 16:06	9/13/16 16:06	1/18/16 20:17																						"<p>Social network data</p> <p>Introduction: What is different about social network data?</p> <ul> <li>In the network data the columm can be relationship between actors.</li> <li>See how actors are located or embedded in the overall network</li> <li>densitiy</li> <li>not a conventional data - focuses on relationship</li> <li>nodes (or actors) edges (or relations)</li> </ul> <p>Nodes</p> <ul> <li>Sample elements are not independent</li> </ul> <p>&nbsp;&nbsp;&nbsp; Populations, samples, and boundaries</p> <ul> <li>Rather than drawing a population for a survey use more demographic stuff, do not get rid of participants</li> </ul> <p>&nbsp;&nbsp;&nbsp; Modality and level analysis</p> <ul> <li>good for multiple level analysis and multi modal data structure, but also no in depth take away message</li> </ul> <p>Relations</p> <ul> <li>when we are analyzing the data, there are not random people, they were previously some what related.</li> </ul> <p>&nbsp;&nbsp;&nbsp; Sampling ties</p> <ul> <li>Full network methods</li> <li>Snowball methods</li> <li>Egocentric networks (with alter connections/ Ego only)</li> </ul> <p>&nbsp;&nbsp;&nbsp; Multiple relations</p> <ul> <li>conceptual approaches/ how to take a class</li> </ul> <p>Scales of measurement</p> <ul> <li>Binary measures of relations:</li> <li>Multipe category nominal measures of relations</li> <li>Grouped ordinal measures of relations</li> <li>Full rank ordinal measure of relations</li> <li>Interval measures of relations</li> </ul> <p>A note on statistics and social network data</p> <ul> <li>&nbsp;&nbsp;&nbsp; not a social science! more mathmatical</li> </ul>"		http://faculty.ucr.edu/~hanneman/nettext/C1_Social_Network_Data.html																																																
IWXICZM8	webpage	2014	"Groelmund, Garrett"	RStudio Cheat Sheets	RStudio				https://www.rstudio.com/resources/cheatsheets/		8/1/14	9/13/16 16:06	9/13/16 16:06	1/19/16 21:17																								http://shiny.rstudio.com/articles/rm-cheatsheet.html																																																
