"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"24V574CV","webpage","2016","Weinersmith, Zach","Saturday Morning Breakfast Cereal","","","","","http://www.smbc-comics.com/index.php?id=3978","","2016-01-05","2016-09-13 14:42:56","2016-09-13 14:42:56","2016-01-18 18:17:09","","","","","","","","","","","","","","","","","","","","","","<p>According to the big clock, we've clocked so much clock that we're off the clock!</p> <p>Asserts that innocent research (e.g. correlational data) can be misunderstood and misrepresented by media and politicians to spin whatever stupid narrative people want to make of it. The ramifications in education are important. Be careful to defend information, and provide data with useful context.</p>","","http://www.smbc-comics.com/index.php?id=3978","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2B9D5RU6","blogPost","2015","Leong, B; Polonetsky, J","Why Opting Out of Student Data Collection Isn’t the Solution","EdSurge","","","","https://www.edsurge.com/news/2015-03-16-why-opting-out-of-student-data-collection-isn-t-the-solution","In every privacy debate across every industry, the same questions arise about the rights of individuals to “opt-out” of their data being collected or used. So it should come as no surprise that the “when” and “how” of parent and student opt-outs of education data collection or use has become a robust","2015-03-16","2016-09-13 14:42:56","2016-09-13 14:42:56","2016-01-16 16:31:25","","","","","","","","","","","","","","","","","","","","","","<p>Why Opting Out of Student Data Collection Isn’t the Solution</p> <p>EdSurge News, March 2015</p> <p>&nbsp;</p> <p>Fair Information Privacy Principles (FIPPs)</p> <ul> <li>specify purpose</li> <li>informed consent</li> <li>consent can be implied</li> </ul> <p>Benefits of Data Collection</p> <ul> <li>Primary use cases - grades, free lunch, etc. <ul> <li>Deprivation of these would harm the essential function of the school</li> </ul> </li> </ul> <p>Risks</p> <ul> <li>Opting out negatively impacts basic demography</li> <li>Funds are poorly allocated</li> <li>Diversity is misrepresented</li> </ul> <p>&nbsp;</p> <p>FERPA protects data decisions for marketing data, publicly available data, sensitive survey data</p> <p>""Legitimate education policy concerns need to be addressed by fixing these problems for all students, not just the minority who protest by opting out""</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>I disagree with the sentiment of this article. Polonetsky sidesteps the fact the the opt-out movement is largely tied to certain standardized tests. This movement has grown because there is little demonstrable evidence that these tests provide useful data. It's not as if parents are calling up schools en mass, refusing to let schools collect grades. He totally misrepresents the issue.</p> <p>&nbsp;</p> <p>&nbsp;</p>","","https://www.edsurge.com/news/2015-03-16-why-opting-out-of-student-data-collection-isn-t-the-solution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36FZ4E96","videoRecording","2016","Georgia Tech","Cross Validation","","","","","https://www.youtube.com/watch?v=sFO2ff-gTh0","","2016-09-09","2016-09-13 14:42:57","2016-09-13 14:42:57","2016-09-09 19:37:11","","","","","","","","","","","","Youtube","","","","","","","","","","<p><span style=""text-decoration: underline;"">Cross-validation</span></p> <p>If the model fit for the training set doesn't fit well enough, we may try for a higher order polynomial</p> <p>But that may lead to overfit data</p> <p>&nbsp;</p> <p>Instead, we should train on the test set?</p> <p>Creates the same problem -&gt; not generalizable</p> <p>""The test set is a stand-in for what we don't very well know in the future""</p> <p>Must assume that training and test sets are both representative</p> <p>(IDD) Independent, Identically distributed)</p> <p><strong>Fundamental assumption of learning models</strong></p> <p><strong></strong>Thus, we create a <em>TEST-TEST Set!</em></p> <p>-Cross validation set - a stand-in for the actual test data</p> <p>&nbsp;</p> <ol> <li>Split training data into folds</li> <li>Train on first three folds, test with 4th</li> <li>Train on last three, test with first,</li> <li>etc., etc.</li> <li>The best model with lowest error is the one we go with</li> </ol> <p>&nbsp;</p>","","https://www.youtube.com/watch?v=sFO2ff-gTh0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3RP27QQA","book","2015","Zheng, Alice","Evaluating Machine Learning Models","","","","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","Data science today is a lot like the Wild West: there’s endless opportunity and excitement, but also a lot of chaos and confusion. If you’re new to data science and applied machine learning, evaluating a machine-learning model can seem pretty overwhelming...","2015-09","2016-09-13 14:42:56","2016-09-13 14:42:56","2015-12-15 18:26:39","","","","","","","","","","","","O'Reily Media","Sebastopol, CA","","","","","","","","","<p>Evaluation Metrics<br /><br />Classification:<br />-accuracy - straightforward<br />-confusion matrix - distinguishes between the cost of misclassification depending on scenario (e.g. weighing false-positives differently from false-negative)<br />for binary classification, a 2x2 matrix<br />&nbsp;-- per class accuracy unweights the classes, compared with a straight accuracy evaluation<br />-log-loss - when classifier outputs probability of a classification, rather than a binary decision. The formula is awesome.<br />“Cross entropy incorporates the entropy of the true distribution, plus the extra unpredictability when one assumes a different distribution than the true distribution. So log-loss is an information-theoretic measure to gauge the “extra noise” that comes from using a predic‐ tor as opposed to the true labels. By minimizing the cross entropy, we maximize the accuracy of the classifier.”<br />-AUC - (ROC - receiver operator characteristic) area under curve. 1 is best<br /><br />Ranking Metrics<br />-searches for elements that are relevant, and ranks according to relevance<br />-also applies to personalized recommendation<br /><br />-precision-recall<br />“Precision answers the question, “Out of the items that the ranker/classifier predicted to be relevant, how many are truly relevant?” Whereas, recall answers the question, “Out of all the items that are truly relevant, how many are found by the ranker/classifier?””<br /><br />precision and recall select the same union of returned by ranker/classifier and relevant sets, but because the sizes of these sets are different, the values are different<br /><br />F1 score is like an AUC metric for precision-recall values at k<br /><br />- NDCG (normalized discounted cumulative gain) prioritizes higher ranked items<br /><br />RMSE - very common<br />&nbsp;- average, sensitive to outliers (“mean is not robust”)<br /><br />MAPE (median absolute percentage)<br /><br />“Almost correct” predictions may be valuable, and worthy of measure<br /><br />look out for data skew - where one kind of data is more rare than others (e.g. credit card fraud detection)<br /><br /></p>","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5CD8QCXP","journalArticle","2012","Greller, Wolfgang; Drachsler, Hendrik","Translating Learning into Numbers: A Generic Framework for Learning Analytics","Journal of Educational Technology & Society","","1176-3647","","http://www.jstor.org/stable/jeductechsoci.15.3.42","ABSTRACT With the increase in available educational data, it is expected that Learning Analytics will become a powerful means to inform and support learners, teachers and their institutions in better understanding and predicting personal learning needs and performance. However, the processes and requirements behind the beneficial application of Learning and Knowledge Analytics as well as the consequences for learning and teaching are still far from being understood. In this paper, we explore the key dimensions of Learning Analytics (LA), the critical problem zones, and some potential dangers to the beneficial exploitation of educational data. We propose and discuss a generic design framework that can act as a useful guide for setting up Learning Analytics services in support of educational practice and learner guidance, in quality assurance, curriculum development, and in improving teacher effectiveness and efficiency. Furthermore, the presented article intends to inform about soft barriers and limitations of Learning Analytics. We identify the required skills and competences that make meaningful use of Learning Analytics data possible to overcome gaps in interpretation literacy among educational stakeholders. We also discuss privacy and ethical issues and suggest ways in which these issues can be addressed through policy guidelines and best practice examples.","2012","2016-09-13 14:42:56","2016-09-13 14:42:56","2016-09-03 18:55:41","42-57","","3","15","","Journal of Educational Technology & Society","Translating Learning into Numbers","","","","","","","","","","","","JSTOR","","","<p>A generic framework for learning analytics</p> <p>***This is a great article***</p> <p>Learning analytics services in support of educational practice and learner guidance... improving teacher effectiveness and efficiency.</p> <p>Privacy and ethical issues</p> <p>What are information retrieval technologies?</p> <p>Goals:</p> <p>reduce delivery costs while creating more effective learning experiences, accelerating competence development, and increasing collaboration between learners.<br /><br />Data was typically collected using questionaires</p> <p>Now it is collected by mining normal user behavior</p> <p>Thus, data is more likely to reflect ""real and uninterrupted user behavior""</p> <p>Is this creepy? Would people consent to this if they knew what was up?</p> <p>Questionnaires are still useful to ""&nbsp;highlight possible inconsistencies between user behaviour and user perception (Savage and Burrows, 2007).""<br /><br />6 Dimensions that LA framework should cover:</p> <p>Internal limitations, external constraints, instruments, data, objectives, stakeholders</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86VK8KFK","journalArticle","2008","Baker, Ryan S. J. d; Corbett, Albert T.; Roll, Ido; Koedinger, Kenneth R.","Developing a generalizable detector of when students game the system","User Modeling and User-Adapted Interaction","","0924-1868, 1573-1391","10.1007/s11257-007-9045-6","http://link.springer.com/article/10.1007/s11257-007-9045-6","Some students, when working in interactive learning environments, attempt to “game the system”, attempting to succeed in the environment by exploiting properties of the system rather than by learning the material and trying to use that knowledge to answer correctly. In this paper, we present a system that can accurately detect whether a student is gaming the system, within a Cognitive Tutor mathematics curricula. Our detector also distinguishes between two distinct types of gaming which are associated with different learning outcomes. We explore this detector’s generalizability, and find that it transfers successfully to both new students and new tutor lessons.","2008-01-23","2016-09-13 14:42:57","2016-09-16 15:55:56","2016-09-04 01:34:49","287-314","","3","18","","User Model User-Adap Inter","","","","","","","","en","","","","","link.springer.com","","","<p>Developing a generalizable detector of when students game the system <br /><br />Ryan S. J. d. Baker · Albert T. Corbett · Ido Roll · Kenneth R. Koedinger <br />2008<br /><br />Definition:<br />“attempting to succeed in an educational environment by exploiting properties of the system rather than by learning the material and trying to use that knowledge to answer correctly” (Baker et al. 2006).<br /><br />First Gaming detectors 2004<br /><br />Cognitive Tutor<br />Uses BKT - Corbett and Anderson 1995<br /><br />Two types of gaming:<br />1. quickly asking for help<br />2. inputting answers quickly and systematically, until student is advanced by the system<br /><br />The original detector only predicted students who gamed and did poorly, but missed the ones who gamed and had high post test scores<br /><br />Second model used “leave-out-one-cross-validation”<br /><br />Field observations based on repeated 20-s behavior observations, conducted using peripheral vision.<br /><br />normalized timer per actions<br /><br />Latent response models<br /><br /><br />Modeling:<br />Fast Correlation-Based Filtering (Yu and Liu 2003)<br />Forward Selection (Ramsey and Schafer 1997) <br /><br />A′ is equivalent to both the area under the ROC curve in signal detection theory, and to W , the Wilcoxon statistic<br /><br />“However, the fact that the detector is statistically significantly more accurate than chance does not immediately indicate that it will be sufficiently accurate to drive interventions within a learning environment.”<br /><br />Fail soft interventions. How does the application intervene?</p>","; ","http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/s11257-007-9045-6; https://link.springer.com/article/10.1007/s11257-007-9045-6","","Behavior detection; Cognitive tutors; Education (general); Gaming the system; Generalizable models; Interactive learning environments; Latent response models; Machine learning; Management of Computing and Information Systems; Multimedia Information Systems; student modeling; User Interfaces and Human Computer Interaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE2DQKDE","bookSection","2013","Desmarais, Michel C.; Naceur, Rhouma","A Matrix Factorization Method for Mapping Items to Skills and for Enhancing Expert-Based Q-Matrices","Artificial Intelligence in Education","978-3-642-39111-8 978-3-642-39112-5","","","http://link.springer.com/chapter/10.1007/978-3-642-39112-5_45","Uncovering the right skills behind question items is a difficult task. It requires a thorough understanding of the subject matter and of the cognitive factors that determine student performance. The skills definition, and the mapping of item to skills, require the involvement of experts. We investigate means to assist experts for this task by using a data driven, matrix factorization approach. The two mappings of items to skills, the expert on one side and the matrix factorization on the other, are compared in terms of discrepancies, and in terms of their performance when used in a linear model of skills assessment and item outcome prediction. Visual analysis shows a relatively similar pattern between the expert and the factorized mappings, although differences arise. The prediction comparison shows the factorization approach performs slightly better than the original expert Q-matrix, giving supporting evidence to the belief that the factorization mapping is valid. Implications for the use of the factorization to design better item to skills mapping are discussed.","2013-07-09","2016-09-13 14:42:57","2016-09-13 14:42:57","2016-09-03 20:44:11","441-450","","","","","","","","","","","Springer Berlin Heidelberg","","en","©2013 Springer-Verlag Berlin Heidelberg","","","","link.springer.com","","","<p>A Matrix Factorization Method<br />for Mapping Items to Skills and for Enhancing Expert-Based Q-Matrices<br /><br />Desmarais &amp; Naceur (2013)<br /><br />Map skills requires subject matter knowledge, definitions, and expert involvement<br /><br />Assist SME’s using matrix factorization<br /><br />Linear models:<br />compensatory models of skills: each skill required adds to the chances of success of an item. <br /><br />conjunctive models (Barnes, Stampers, et al) - any required skill missing will induce a failure to the item (all skills required)<br /><br />disjunctive model - any skill is sufficient<br /><br />Alternate Least Squares Factorization (ALS)<br />described p 444<br /><br />For best optimization, begin with expert matrix Q0<br />“In our experiments, the convergence at a delta of 0.001 occurs after 7–8 iterations and in a fraction of a second for factorizing a matrix of dimension 20×536.”<br /><br />ALS Method compares the expert matrix with results, and estimates values for each cell using cross validation<br />This can be rounded to create a new binary matrix, if desired<br /><br />How much the ALS matrix differs from the expert matrix can be taken as a proxy for the validity of the ALS matrix<br /><br />Note: citations from many near relations in LA: DeCarlo, Barnes, Stamper</p>","","https://link.springer.com/chapter/10.1007/978-3-642-39112-5_45","","alternating least squares matrix factorization; Artificial Intelligence (incl. Robotics); Cognitive modeling; Computers and Education; Educational Technology; Information Systems Applications (incl. Internet); latent skills; Pedagogic Psychology; skills assessment; Student models; User Interfaces and Human Computer Interaction","Lane, H. Chad; Yacef, Kalina; Mostow, Jack; Pavlik, Philip","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BFRMDAX2","bookSection","2016","Hanneman, R.A.; Riddle, M.","Chapter 1: Social Network Data","Introduction to Social Network Methods","","","","http://faculty.ucr.edu/~hanneman/nettext/C1_Social_Network_Data.html","","2016-01-18","2016-09-13 14:42:56","2016-09-13 14:42:56","2016-01-18 20:17:24","","","","","","","","","","","","","","","","","","","","","","<p>Introduction to social network methods<br />-Social Network Data<br /><br />http://faculty.ucr.edu/~hanneman/nettext/C1_Social_Network_Data.html<br /><br />Hannerman &amp; Riddle<br /><br />Structurally different<br />Values may be binary, representing relationships between elements of the same type (relations between people), rather than observed properties of elements<br /><br />individual relations may be helpful, but a holistic analysis is likely more valuable<br /><br />rather than the actors being the focus, the actor is “embedded” in the relations.<br /><br />SNA typically requires data about a whole population, rather than a sample<br /><br />Boundaries of populations may be naturally occurring (boundaries of an organization, eg.) or may be imposed by researchers (county lines, state lines, criterion-based).<br /><br />Use replication across similar populations to verify the validity of findings<br /><br />multi-modal networks refer to networks that are embedded in other networks<br /><br />Snowball methods grow networks from select individuals, asking each member to name a few other relations, and then surveying those new relations<br />Snowball may ignore those with lower degree, presenting a model of greater connectedness than reality<br />misses “most of the community”<br /><br />Considerations:<br />are elements conserved or non-conserved?<br />(information is non-conservative, because it grows with more connections)<br /><br />Be careful of surveying for nominal relations: connections between nodes may be both friends and lovers, for example.<br /><br />How do we measure the strength of connections?<br />Interval measures - quantify how much money, or email, or phone calls, are exchanged</p>","","http://faculty.ucr.edu/~hanneman/nettext/C1_Social_Network_Data.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EVA6PXC7","journalArticle","2014","Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","CBE-Life Sciences Education","",", 1931-7913","10.1187/cbe.13-08-0162","http://www.lifescied.org/content/13/2/167","Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.","2014-06-20","2016-09-13 14:42:56","2016-09-13 14:42:56","2014-08-20 20:21:46","167-178","","2","13","","CBE Life Sci Educ","Understanding Classrooms through Social Network Analysis","","","","","","","en","","","","","www.lifescied.org","","","<p>Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research <br /><br />Grunspan, Wiggins, Goodreau (2014)<br /><br /><br />Social networks seem to be incredibly important for student success<br />What are some of the causes for this trend?<br />Should roommates and lab partners be assigned in a more meaningful way?<br /><br />Does active learning strengthen or change these important network connections?<br /><br />This paper is very much an introduction, to encourage more people to attempt the same kind of analyses at their own institutions<br /><br />SNA helps us see how relationships form<br />SNA shows how relationships affect attributes, rather than how conditions or states affect attributes<br /><br />Types of networks:<br />number of actors<br />unipartite, bipartite<br /><br />Directionality<br />bi-directional = undirected<br /><br />how to manage static vs. dynamic networks<br />data collection must be oriented to a question at hand<br /><br />SNA needs a meaningful or reasonable way of bounding the network (class, school, district, department, etc.)<br /><br />Measures of network<br />-Density -&gt; links divided by possible links<br />&nbsp;&nbsp; &nbsp;hard to interpret without relating to similar networks<br /><br />-Homophily -&gt; a propensity for similar actors to be disproportionately connected in a relation of interest<br />e.g. homophily by gender, class, sports, race, age<br /><br />caused by either social selection or social influence<br /><br />Triads may indicate interesting structural dynamics, such as brokering ties, or acting as a conduit<br />-May indicate hierarchy, or egalitarianism if closed<br /><br />Measures of centrality:<br />-degree<br />-closeness<br />-betweenness<br />-eigenvector centrality<br />-indegree and outdegree<br /><br />problems with collection:<br />-survey fatigue<br />-survey design<br />-technical affordances of survey (can respondents leave things blank?)<br />-name confusion between students<br /><br />-confidentiality and IRB policies<br />—opt-in vs. opt-out procedures<br /><br />Data management:<br />matrices<br />-sociomatrix, adjacency matrix<br />-edgelist<br /><br />wrangling these types of&nbsp; datasets is very difficult!<br /><br />Statnet package in R<br />other packages in article<br />Article includes supplemental material including mock data set</p>","","http://www.lifescied.org/content/13/2/167","Week 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G52QST4W","conferencePaper","2012","Siemens, George; Baker, Ryan S. J. d.","Learning Analytics and Educational Data Mining: Towards Communication and Collaboration","Proceedings of the 2Nd International Conference on Learning Analytics and Knowledge","978-1-4503-1111-3","","10.1145/2330601.2330661","http://doi.acm.org/10.1145/2330601.2330661","Growing interest in data and analytics in education, teaching, and learning raises the priority for increased, high-quality research into the models, methods, technologies, and impact of analytics. Two research communities -- Educational Data Mining (EDM) and Learning Analytics and Knowledge (LAK) have developed separately to address this need. This paper argues for increased and formal communication and collaboration between these communities in order to share research, methods, and tools for data mining and analysis in the service of developing both LAK and EDM fields.","2012","2016-09-13 14:42:56","2016-09-13 14:42:56","2015-01-16 03:15:55","252–254","","","","","","Learning Analytics and Educational Data Mining","","","","","ACM","New York, NY, USA","","","","","","ACM Digital Library","","","<p>EDM&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;LA&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &nbsp;<br />Rooted in tech field&nbsp;&nbsp;&nbsp;&nbsp; Rooted in education<br />Automation&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Tech as a tool to enhance human judgement<br />Machine learning&nbsp; &nbsp; &nbsp;&nbsp;&nbsp;&nbsp; text &amp; SNA<br />individual level&nbsp;&nbsp; &nbsp;&nbsp;&nbsp; &nbsp; &nbsp;&nbsp; systems, holistic level</p> <p>Call for communication and collaboration between these communities</p> <p>&nbsp;</p>","","","","Collaboration; educational data mining; learning analytics and knowledge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
