"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ABCD2345","webpage","","Center for History and New Media","Zotero Quick Start Guide","","","","","http://zotero.org/support/quick_start_guide","","","2016-09-08 18:04:09","2016-09-08 18:04:09","","","","","","","","","","","","","","","","","","","","","","","<p><strong>Welcome to Zotero!</strong></p><p>View the Quick Start Guide to learn how to begin collecting, managing, citing, and sharing your research sources.</p><p>Thanks for installing Zotero.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UKCNJEDA","webpage","","","quick_start_guide [Zotero Documentation]","","","","","https://www.zotero.org/support/quick_start_guide","","","2016-09-08 19:35:28","2016-09-08 19:35:28","2016-09-08 19:35:28","","","","","","","","","","","","","","","","","","","","","","","/Users/laurenrachel/Library/Application Support/Zotero/Profiles/270xkd51.default/zotero/storage/GBCNAEVV/quick_start_guide.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WP9T8E44","blogPost","","","Cheatsheets","RStudio","","","","https://www.rstudio.com/resources/cheatsheets/","RStudio Cheat Sheets  The cheat sheets below make it easy to learn about and use some of our favorite packages. From time to time, we will add new cheat sheets to the gallery. If you'd like us to drop you an email when we do, let us know by clicking the button to the","","2016-09-08 19:35:45","2016-09-08 19:35:45","2016-09-08 19:35:45","","","","","","","","","","","","","","","","","","","","","","","/Users/laurenrachel/Library/Application Support/Zotero/Profiles/270xkd51.default/zotero/storage/RPG8I83C/cheatsheets.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6K82XWGT","webpage","","","core-methods-in-edm/Syllabus","GitHub","","","","https://github.com/core-methods-in-edm/Syllabus","Syllabus for EDCT GE 2550","","2016-09-08 19:36:30","2016-09-08 19:36:30","2016-09-08 19:36:30","","","","","","","","","","","","","","","","","","","","","","","/Users/laurenrachel/Library/Application Support/Zotero/Profiles/270xkd51.default/zotero/storage/CKMWGZP7/Syllabus.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DPFQUMUH","webpage","","","Set Up Git - User Documentation","","","","","https://help.github.com/articles/set-up-git/","","","2016-09-12 16:51:52","2016-09-12 16:51:52","2016-09-12 16:51:52","","","","","","","","","","","","","","","","","","","","","","","/Users/laurenrachel/Library/Application Support/Zotero/Profiles/270xkd51.default/zotero/storage/DXNTRN25/set-up-git.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8RNCH5E2","webpage","","","osx - How to get started with Git on Mac - Stack Overflow","","","","","http://stackoverflow.com/questions/4725389/how-to-get-started-with-git-on-mac","","","2016-09-12 17:00:27","2016-09-12 17:00:27","2016-09-12 17:00:27","","","","","","","","","","","","","","","","","","","","","","","/Users/laurenrachel/Library/Application Support/Zotero/Profiles/270xkd51.default/zotero/storage/52SZQA8D/how-to-get-started-with-git-on-mac.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VQ2Z4U93","journalArticle","2010","Bowers, Alex J.","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","Practical Assessment, Research & Evaluation","","1531-7714","","","School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)","2010-05","2016-09-12 17:02:30","2016-09-12 17:02:30","2014-09-24 19:31:29","","","7","15","","","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students","","","","","","","en","","","","","ERIC","","","<p>looking at individual students during entire lower school/middle school/high school careers</p> <p>looks at dropout, graduation rates with correlation to other historical or similar information</p> <p>change in learning around 4th grade (learning to read vs. reading to learn)</p> <p>hierarchical cluster analysis - grouping the heat map so that each cluster has certain (nested) attributes</p> <p>potential use as predictor for interventions</p>","","http://eric.ed.gov/?id=EJ933686","","data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VC4NXAXE","journalArticle","2014","Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","CBE-Life Sciences Education","",", 1931-7913","10.1187/cbe.13-08-0162","http://www.lifescied.org/content/13/2/167","Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.","2014-06-20","2016-09-12 17:02:31","2016-09-12 17:02:31","2014-08-20 20:21:46","167-178","","2","13","","CBE Life Sci Educ","Understanding Classrooms through Social Network Analysis","","","","","","","en","","","","","www.lifescied.org","","","<p>social network analysis (SNA)</p> <p>understanding central characters or betweenness (degree centrality, betweenness centrality)</p> <p>directed or undirected connections (what information do you have about it? is it a teacher providing information one way?)</p>","","http://www.lifescied.org/content/13/2/167","Week 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STUDKRDP","blogPost","2014","Young, Jeffrey R.","Why Students Should Own Their Educational Data","The Chronicle of Higher Education Blogs: Wired Campus","","","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","2014-08-21","2016-09-12 17:02:31","2016-09-12 17:02:31","2014-08-23 21:32:22","","","","","","","","","","","","","","","","","","","","","","<p>think of educational building blocks - you can't read a science textbook for the science if you're not up to the grade level for reading</p> <p>so making textbooks for ""everyone"" cannot be done successfully</p> <p>center for individual opportunity (author's nonprofit) for ""science of the individual""</p> <p>everyone ""should own their own data""</p> <p>[LR thought: *doesn't everyone own their own data, in theory? if they wanted to make note of it? if they were self-aware enough to observe or actually take grades, feedback, difficulties, etc.*]</p> <p>profile is stable in particular context with matching parameters, so we should figure out how to teach to that</p>","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5XIAR8HR","journalArticle","1994","Corbett, Albert T.; Anderson, John R.","Knowledge tracing: Modeling the acquisition of procedural knowledge","User Modeling and User-Adapted Interaction","","0924-1868, 1573-1391","10.1007/BF01099821","http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/BF01099821","This paper describes an effort to model students' changing knowledge state during skill acquisition. Students in this research are learning to write short programs with the ACT Programming Tutor (APT). APT is constructed around a production rule cognitive model of programming knowledge, called theideal student model. This model allows the tutor to solve exercises along with the student and provide assistance as necessary. As the student works, the tutor also maintains an estimate of the probability that the student has learned each of the rules in the ideal model, in a process calledknowledge tracing. The tutor presents an individualized sequence of exercises to the student based on these probability estimates until the student has ‘mastered’ each rule. The programming tutor, cognitive model and learning and performance assumptions are described. A series of studies is reviewed that examine the empirical validity of knowledge tracing and has led to modifications in the process. Currently the model is quite successful in predicting test performance. Further modifications in the modeling process are discussed that may improve performance levels.","1994-12-01","2016-09-12 17:02:31","2016-09-12 17:02:31","2013-04-21 21:21:19","253-278","","4","4","","User Model User-Adap Inter","Knowledge tracing","","","","","","","en","","","","","link.springer.com.ezp-prod1.hul.harvard.edu","","","<p><a href=""http://liris.cnrs.fr/~pchampin/2014/m2iade-ia2/slides/_static/893CorbettAnderson1995.pdf"">http://liris.cnrs.fr/~pchampin/2014/m2iade-ia2/slides/_static/893CorbettAnderson1995.pdf</a></p> <p>uses 'ideal student model' to build mastery via mapped knowledge components</p> <p>knowledge is traced via 'model tracing' - if the student gets something correct (with a high probability this component is known) then it moves on, if incorrect then provides a hint</p> <p>(this paper does not mention including 'buggy' misconceptions, common issues that novices face especially when the mapped components are based on expert modeling)</p> <p>declarative vs. procedural knowledge (production rules, problem solving goals...)</p> <p>knowledge tracing (bayesian or otherwise) is continuous - not tested at the end, but constantly checking to evaluate where the student maps to the ideal student learning</p> <p>some rules harder to learn than others, slips and guesses can vary significantly with regard to different rules or knowledge components</p> <p>also difficulties shown in building on assumed known knowledge or combining it in new ways&nbsp;(in simple context is 'learned,' in complex context does not transfer), so should be treated somewhat differently</p> <p>more difficultly = worse test performance, despite remediation within the tutor program (suggests behaviors not represented in the model)</p> <p>not perfect model - over remediates students who have learned so they do well on tests (but skew remediation effects) and remediation doesn't significantly help poorer students who continue to struggle with tests</p> <p>tried it with weights for four different student groups within the overall - created a more sensitive test that better fit the data (but does not improve the tutor itself)</p>","","","","Education (general); empirical validity; individual differences; intelligent tutoring systems; Learning; Management of Computing and Information Systems; mastery learning; Multimedia Information Systems; procedural knowledge; Psychology, general; student modeling; User Interfaces and Human Computer Interaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
