"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"P92A53LS","bookSection","2017","Bergner, Yoav","Measurement and its Uses in Learning Analytics","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","Psychological measurement is a process for making warranted claims about states of mind. As such, it typically comprises the following: de ning a construct; specifying a measurement model and (developing) a reliable instrument; analyzing and accounting for various sources of error (including operator error); and framing a valid argument for particular uses of the outcome. Measurement of latent variables is, after all, a noisy endeavor that can neverthe- less have high-stakes consequences for individuals and groups. This chapter is intended to serve as an introduction to educational and psychological measurement for practitioners in learning analytics and educational data mining. It is organized thematically rather than historically, from more conceptual material about constructs, instruments, and sources of measurement error toward increasing technical detail about particular measurement models and their uses. Some of the philosophical differences between explanatory and predictive modelling are explored toward the end.","2017","2019-09-17 21:45:46","2019-09-17 21:45:46","","34-48","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>The core technology of big data is cloud computing, which is the supporting technology of big data analysis and has brought a new revolution to technology. In May 2011, the world-renowned consulting firm McKinsey first proposed the concept of big data that is ""data has begun to penetrate all industries and increasingly become an important factor of production, which will bring a new change.""</p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EKMDS8A2","bookSection","2017","Prinsloo, Paul; Slade, Sharon","Ethics and Learning Analytics: Charting the (Un)Charted","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","As the field of learning analytics matures, and discourses surrounding the scope, de nition, challenges, and opportunities of learning analytics become more nuanced, there is bene t both in reviewing how far we have come in considering associated ethical issues and in looking ahead. This chapter provides an overview of how our own thinking has developed and maps our journey against broader developments in the  eld. Against a backdrop of technological advances and increasing concerns around pervasive surveillance and the role and unintended consequences of algorithms, the development of research in learning analytics as an ethical and moral practice provides a rich picture of fears and realities. More importantly, we begin to see ethics and privacy as crucial enablers within learning analytics. The chapter brie y locates ethics in learning analytics in the broader context of the forces shaping higher education and the roles of data and evidence before tracking our personal research journey, highlighting current work in the  eld, and concluding by mapping future issues for consideration.","2017","2019-09-17 21:45:46","2019-09-17 21:45:46","","49-57","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>Here I find two meaningful words, accountability and responsibility. As we all know, ethics does't exist for the artificial agents. At the beginning, human made the basic codes to ensure they are working for us. But, as the developing of machine learning, we don't know what happen next. In fact, they are out of control in some ways. Thus, we should let them to learn about accountability and responsibility to limit their behavior.</p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2ESSUUK3","bookSection","2017","Brooks, Christopher; Thompson, Craig","Predictive Modelling in Teaching and Learning","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","This article describes the process, practice, and challenges of using predictive modelling in teaching and learning. In both the  elds of educational data mining (EDM) and learning analytics (LA) predictive modelling has become a core practice of researchers, largely with a focus on predicting student success as operationalized by academic achievement. In this chapter, we provide a general overview of considerations when using predictive modelling, the steps that an educational data scientist must consider when engaging in the process, and a brief overview of the most popular techniques in the  eld.","2017","2019-09-17 21:45:46","2019-09-17 21:45:46","","61-68","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>The mining of educational data is a big data problem. The data accumulated by educational institutions is even greater. The extraction of informative data is to analyze each factor related to students' learning through data to examine the impact of this factor on students' learning behaviors and find the data characteristics that are most suitable for students' learning. For example, one of the elements in the famous ""micro-video"" production is the length of the video. For students of different grades, a few minutes of video is more suitable for students to learn. It is necessary to accumulate data and tap the value behind the data.</p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HRHN4SKR","bookSection","2017","Liu, Ren; Koedinger, Kenneth","Going Beyond Better Data Prediction to Create Explanatory Models of Educational Data","The Handbook of Learning Analytics","978-0-9952408-0-3","","","http://solaresearch.org/hla-17/hla17-chapter1","In the statistical modelling of educational data, approaches vary depending on whether the goal is to build a predictive or an explanatory model. Predictive models aim to  nd a combination of features that best predict outcomes; they are typically assessed by their accuracy in predicting held-out data. Explanatory models seek to identify interpretable causal relationships between constructs that can be either observed or inferred from the data. The vast majority of educational data mining research has focused on achieving pre- dictive accuracy, but we argue that the  eld could bene t from more focus on developing explanatory models. We review examples of educational data mining efforts that have pro- duced explanatory models and led to improvements to learning outcomes and/or learning theory. We also summarize some of the common characteristics of explanatory models, such as having parameters that map to interpretable constructs, having fewer parameters overall, and involving human input early in the model development process.","2017","2019-09-17 21:45:46","2019-09-17 21:45:46","","69-76","","","","","","","","","","","Society for Learning Analytics Research (SoLAR)","Alberta, Canada","","","","","","","","","<p>Learning analysis: This is an analysis between education data mining and academic analysis that focuses on a smaller system and overall interpretation. From another perspective, the extraction of educational data pays more attention to specific things. Learning analysis is the analysis and judgment of individual student learning behaviors. It applies to teachers and students, while the academic review is to a school, a region. Even the study and research of a country's overall education policy and education behavior are applicable to education administration departments.</p>","","","","","Lang, Charles; Siemens, George; Wise, Alyssa Friend; Gaševic, Dragan","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VBULDKTC","journalArticle","2011","Gelman, A; Niemi, J","Statistical graphics: making information clear – and beautiful","Significance","","","","","","2011-09","2019-09-17 21:45:46","2019-09-17 21:45:46","","134-136","","","","","","","","","","","","","","","","","","","","","<p>The reader can easily understand the visual presentation. Charts and maps affect almost everyone through newspapers, television, the Internet, and books. It is easier to understand statistics using charts or graphs instead of a long list of numbers. Of course, this is assuming that the visual presentation is used correctly.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KM2AMS72","journalArticle","2012","Gelman, A; Unwin, A","Infovis and Statistical Graphics: Different Goals, Different Looks (with discussion)","","","","","","","2012","2019-09-17 21:45:46","2019-09-17 21:45:46","","","","","","","","","","","","","","","","","","","","","","","<p>The line chart can observe the continuous change trend of one or more data indicators, and can also perform year-on-year analysis with the previous cycle as needed. The histogram can find the changing pattern of an event. If you divide the whole, you can make a stacked chart and observe the proportion and change trend of the part.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36HAYXVY","blogPost","2014","Fung, K","Junkcharts Trifecta Checkup: The Definitive Guide","Junkcharts","","","","http://junkcharts.typepad.com/junk_charts/junk-charts-trifecta-checkup-the-definitive-guide.html","","2014","2019-09-17 21:45:47","2019-09-17 21:45:47","","","","","","","","","","","","","","","","","Blog","","","","","","<p>Thinking guidelines</p> <p>""<span style=""color: #000000; font-family: arial, helvetica, sans-serif; font-size: 14.6667px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">The Question occupies the top corner because any data visualization project needs a worthy cause. I'd like the Question to be well-posed, and interesting; the former focuses the search for appropriate data while the latter ensures an engaged audience.</span>""</p> <p><span style=""color: #000000; font-family: arial, helvetica, sans-serif; font-size: 14.6667px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">""The need for such a framework is clear. Opinion pieces on specific data graphics frequently come across as stream of conscience. Proclaiming a chart ""mind-blowing"" or ""worst of the century"" isn't worth much if the author cannot articulate why. The state of dataviz criticism has not progressed further than assembling a set of ""rules of thumb"".</span></p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WVPR9YYN","journalArticle","2010","Bowers, Alex J.","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","Practical Assessment, Research & Evaluation","","1531-7714","","","School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)","2010-05","2019-09-17 21:45:47","2019-09-17 21:45:47","2014-09-24 19:31:29","","","7","15","","","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students","","","","","","","en","","","","","ERIC","","","<p>1. Prediction-the possibility of being aware of the facts expected. For example, the ability to know when a student deliberately answers mistakes, despite being in fact capable.</p> <p>2. Clustering-Discover naturally concentrated data points. This is useful for grouping students with similar learning interests.</p> <p>3. Relationship Mining-Discover relationships between various variables and decode them for future use. This is helpful to find out how reliably students can answer questions after asking for help.</p> <p>4. Distillation for human judgment-to establish a model of visual machine learning.</p> <p>5. Discovery with models—meta-study using patterns developed through big data analysis</p>; <p>In education, especially in school education, data has become the most significant indicator of teaching improvement. Usually, these numbers mainly refer to test scores. Of course, it can also include enrollment rate, attendance rate, drop-out rate, and enrollment rate. For specific classroom teaching, the data should be able to explain the teaching effect, such as the accuracy of students' literacy, the accuracy of homework, and the performance rate of the multi-faceted development-the number of hands raised actively participating in classroom science and the number of answers to questions. <br />How long does it take each student to answer a question?<br />How long does it take for different students to solve the same problem?<br />What is the correct rate of the overall answer?<br />These specific data are collected and classified, Sorting, statistics, and analysis become big data.</p>","","http://eric.ed.gov/?id=EJ933686","","data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AMY75IIE","journalArticle","2014","Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","CBE-Life Sciences Education","",", 1931-7913","10.1187/cbe.13-08-0162","http://www.lifescied.org/content/13/2/167","Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.","2014-06-20","2019-09-17 21:45:47","2019-09-17 21:45:47","2014-08-20 20:21:46","167-178","","2","13","","CBE Life Sci Educ","Understanding Classrooms through Social Network Analysis","","","","","","","en","","","","","www.lifescied.org","","","<p>The discovery of virtual communities in social networks helps to understand the characteristics of the network topology, reveal the inherent functional aspects of complex systems, and follow the individual relationships within the community. Provide strong support for information retrieval, information recommendation, information dissemination control, and public event control. The virtual community finds that there are many classic algorithms. These algorithms are used to mine virtual communities of different sizes. The algorithm strives to improve efficiency (reduce time complexity) while pursuing high accuracy.</p>","","http://www.lifescied.org/content/13/2/167","Week 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5Z27LU6E","blogPost","2014","Young, Jeffrey R.","Why Students Should Own Their Educational Data","The Chronicle of Higher Education Blogs: Wired Campus","","","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","2014-08-21","2019-09-17 21:45:47","2019-09-17 21:45:47","2014-08-23 21:32:22","","","","","","","","","","","","","","","","","","","","","","<p>Students want to learn by themselves. Master the learning style and progress yourself. However, because students can't fully understand what they need to learn and what knowledge points they haven't mastered, in what ways can they learn faster and better. Students can only accept the teacher's indoctrination or repeat the questions repeatedly. Not only wasted valuable time but also led to inefficient learning.</p>","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
