Key	Item Type	Publication Year	Author	Title	Publication Title	ISBN	ISSN	DOI	Url	Abstract Note	Date	Date Added	Date Modified	Access Date	Pages	Num Pages	Issue	Volume	Number Of Volumes	Journal Abbreviation	Short Title	Series	Series Number	Series Text	Series Title	Publisher	Place	Language	Rights	Type	Archive	Archive Location	Library Catalog	Call Number	Extra	Notes	File Attachments	Link Attachments	Manual Tags	Automatic Tags	Editor	Series Editor	Translator	Contributor	Attorney Agent	Book Author	Cast Member	Commenter	Composer	Cosponsor	Counsel	Interviewer	Producer	Recipient	Reviewed Author	Scriptwriter	Words By	Guest	Number	Edition	Running Time	Scale	Medium	Artwork Size	Filing Date	Application Number	Assignee	Issuing Authority	Country	Meeting Name	Conference Name	Court	References	Reporter	Legal Status	Priority Numbers	Programming Language	Version	System	Code	Code Number	Section	Session	Committee	History	Legislative Body
ABCD2345	webpage		Center for History and New Media	Zotero Quick Start Guide					http://zotero.org/support/quick_start_guide			9/13/16	9/13/16																							"<p><strong>Welcome to Zotero!</strong></p><p>View the Quick Start Guide to learn how to begin collecting, managing, citing, and sharing your research sources.</p><p>Thanks for installing Zotero.</p>"																																																		
8J5XNXF4	webpage			Zotero | Email validation					https://www.zotero.org/user/validate			9/13/16	9/13/16	9/13/16																							/Users/linhdoan/Library/Application Support/Firefox/Profiles/eswr7i5x.default/zotero/storage/4MZQS5HT/validate.html																																																	
BENS5MTG	journalArticle	2010	"Bowers, Alex J."	"Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis"	"Practical Assessment, Research & Evaluation"		1531-7714			"School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)"	2010-05	9/13/16	9/13/16	9/24/14			7	15			Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students							en					ERIC			<p>Hierarchical Clustering</p> <p>He did an awesome job with clustering graphs! The map&nbsp; show the clear 4 groupings of student score from K to 12.</p> <p>Reading to learn vs. learning to read: interesting</p> <p>&nbsp;</p> <p>&nbsp;</p>		http://eric.ed.gov/?id=EJ933686		data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students																																														
FW82DUKE	journalArticle	2014	"Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M."	Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research	CBE-Life Sciences Education		", 1931-7913"	10.1187/cbe.13-08-0162	http://www.lifescied.org/content/13/2/167	"Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data."	6/20/14	9/13/16	9/13/16	8/20/14	167-178		2	13		CBE Life Sci Educ	Understanding Classrooms through Social Network Analysis							en					www.lifescied.org			"<p>SNA (Cont)</p> <p>In this study they explore generative processes that create observed study<br />networks between students and also test for an association between network position and success<br />on exams using SNA. They use two study networks from a single classroom. <br /><br /></p> <p>This study provides great basic concept and terms.</p> <p>The graph are quite impressive, not sure if they use igraph?</p> <p>*Look at Statistical Analysis of Network Data by Kolaczyk (2009)</p> <p>&nbsp;</p>"		http://www.lifescied.org/content/13/2/167	Week 2																																															
6BAEUQD6	blogPost	2014	"Young, Jeffrey R."	Why Students Should Own Their Educational Data	The Chronicle of Higher Education Blogs: Wired Campus				http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329		8/21/14	9/13/16	9/13/16	8/23/14																						"<p><span style=""color: #000000; font-family: Helvetica,Arial,sans-serif; font-size: 12px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; text-align: left; text-indent: 0px; text-transform: none; white-space: pre-wrap; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline ! important; float: none;"">Why Students Should Own Their Educational Data<br /><br />Standard teaching practice assumes at least average skills across the all student readers, therefore might be a problem for not being able to customize students’ interests and needs.<br /><br />Using statistical average model can be problematic because one could fail to analyze individual patterns by being overwhelmed by aggregate data.<br /><br />Modeling individual is critical to personalized learning, and personality research can be of great help.<br />However, one’s personality might vary across contexts.<br /><br />The participation of MOOC companies are strongly needed for the transparency of educational market.</span></p>"		http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329																																																
99K9PTKU	journalArticle	1994	"Corbett, Albert T.; Anderson, John R."	Knowledge tracing: Modeling the acquisition of procedural knowledge	User Modeling and User-Adapted Interaction		"0924-1868, 1573-1391"	10.1007/BF01099821	http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/BF01099821	"This paper describes an effort to model students' changing knowledge state during skill acquisition. Students in this research are learning to write short programs with the ACT Programming Tutor (APT). APT is constructed around a production rule cognitive model of programming knowledge, called theideal student model. This model allows the tutor to solve exercises along with the student and provide assistance as necessary. As the student works, the tutor also maintains an estimate of the probability that the student has learned each of the rules in the ideal model, in a process calledknowledge tracing. The tutor presents an individualized sequence of exercises to the student based on these probability estimates until the student has ‘mastered’ each rule. The programming tutor, cognitive model and learning and performance assumptions are described. A series of studies is reviewed that examine the empirical validity of knowledge tracing and has led to modifications in the process. Currently the model is quite successful in predicting test performance. Further modifications in the modeling process are discussed that may improve performance levels."	12/1/94	9/13/16	9/13/16	4/21/13	253-278		4	4		User Model User-Adap Inter	Knowledge tracing							en					link.springer.com.ezp-prod1.hul.harvard.edu							"Education (general); empirical validity; individual differences; intelligent tutoring systems; Learning; Management of Computing and Information Systems; mastery learning; Multimedia Information Systems; procedural knowledge; Psychology, general; student modeling; User Interfaces and Human Computer Interaction"																																														
DP4D7UHP	conferencePaper	2012	"Siemens, George; Baker, Ryan S. J. d."	Learning Analytics and Educational Data Mining: Towards Communication and Collaboration	Proceedings of the 2Nd International Conference on Learning Analytics and Knowledge	978-1-4503-1111-3		10.1145/2330601.2330661	http://doi.acm.org/10.1145/2330601.2330661	"Growing interest in data and analytics in education, teaching, and learning raises the priority for increased, high-quality research into the models, methods, technologies, and impact of analytics. Two research communities -- Educational Data Mining (EDM) and Learning Analytics and Knowledge (LAK) have developed separately to address this need. This paper argues for increased and formal communication and collaboration between these communities in order to share research, methods, and tools for data mining and analysis in the service of developing both LAK and EDM fields."	2012	9/13/16	9/13/16	1/16/15	252–254						Learning Analytics and Educational Data Mining					ACM	"New York, NY, USA"						ACM Digital Library			"<p>&nbsp;Note</p> <p>This paper argues for increased and formal communication and collaboration between these communities in order to share research, methods, and tools for data mining and analysis in the service of developing both LAK and EDM fields.</p> <p><strong>Why it is so difficult to measure learning? Reflect upon the video:<br /></strong></p> <p>Don’t know where a student is starting from</p> <p>Can’t measure the ways that people learn</p> <p>Based on proxies, but proxies change based on context not just individual</p> <p>Throw away signal and keep the noise??</p>"				Collaboration; educational data mining; learning analytics and knowledge																																														
ZRIXTB59	journalArticle	2008	"Baker, Ryan S. J. d; Corbett, Albert T.; Roll, Ido; Koedinger, Kenneth R."	Developing a generalizable detector of when students game the system	User Modeling and User-Adapted Interaction		"0924-1868, 1573-1391"	10.1007/s11257-007-9045-6	http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/s11257-007-9045-6	"Some students, when working in interactive learning environments, attempt to “game the system”, attempting to succeed in the environment by exploiting properties of the system rather than by learning the material and trying to use that knowledge to answer correctly. In this paper, we present a system that can accurately detect whether a student is gaming the system, within a Cognitive Tutor mathematics curricula. Our detector also distinguishes between two distinct types of gaming which are associated with different learning outcomes. We explore this detector’s generalizability, and find that it transfers successfully to both new students and new tutor lessons."	8/1/08	9/13/16	9/13/16	1/16/15	287-314		3	18		User Model User-Adap Inter								en					link.springer.com.ezp-prod1.hul.harvard.edu			"<p>Some students, when working in interactive learning environments, attempt to “game the system”, attempting to succeed in the environment by exploiting properties of the system rather than by learning the material and trying to use that knowledge to answer correctly. This study wants to detect who game the system and who is not, when they do so. Additionally, they increase knowledge about gaming and generalize.</p> <p>&nbsp;</p>"		http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/s11257-007-9045-6		Behavior detection; Cognitive tutors; Education (general); Gaming the system; Generalizable models; Interactive learning environments; Latent response models; Machine learning; Management of Computing and Information Systems; Multimedia Information Systems; student modeling; User Interfaces and Human Computer Interaction																																														
88MN34NW	book	2015	"Zheng, Alice"	Evaluating Machine Learning Models					http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page	"Data science today is a lot like the Wild West: there’s endless opportunity and excitement, but also a lot of chaos and confusion. If you’re new to data science and applied machine learning, evaluating a machine-learning model can seem pretty overwhelming..."	2015-09	9/13/16	9/13/16	12/15/15												O'Reily Media	"Sebastopol, CA"									"<p>Machine learning is young, and it is a field is full of technical terms, making it difficult for beginners to get started. Therefore this report is the author’s attempt to try to simplify and evaluate machine learning models.</p> <p>Prototyping (trying out different models to find the best one) is a way of model selection for machine learning. Evaluation can be offline (using historical/existent data) or online (live data).</p> <p>The processes for these two types of evaluation can be complicated, because a) they may measure different metrics and b) the distribution of data does not necessarily stay the same all the time. Classification metrics and regression metrics are two forms of online evaluation mechanisms: In classification metrics, there are different metrics for the tasks of classification, regression, ranking, clustering, topic modeling, etc.</p> <p>In a regression task (regression metrics), the model learns to predict numeric scores. Hold-Out Validation, Cross-Validation, and Bootstrapping are offline evaluation mechanisms.</p>"		http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page																																																
B67FAX4R	blogPost	2015	"Leong, B; Polonetsky, J"	Why Opting Out of Student Data Collection Isn’t the Solution	EdSurge				https://www.edsurge.com/news/2015-03-16-why-opting-out-of-student-data-collection-isn-t-the-solution	"In every privacy debate across every industry, the same questions arise about the rights of individuals to “opt-out” of their data being collected or used. So it should come as no surprise that the “when” and “how” of parent and student opt-outs of education data collection or use has become a robust"	3/16/15	9/13/16	9/13/16	1/16/16																						"<p>Opt-Out Movement</p> <p>How “Opt-out” education data should be handle is debated. In an attempt to discuss this issue, Fair Information Privacy Principles are introduced to help thinking about student data.<br /><br />Purposes of student data collection:<br />1)administrative and educational purposes for schools to have basic information about students<br />2)To understand how well students perform<br /><br />There is a risk that decisions are not made in response to the needs of all students by encourage individuals to opt-out. Legitimate education policy concerns need to be addressed by fixing these problems for all students, not just the minority who protest by opting out.<br /><br />Opt-out rights should be an opportunity for parents to decline uses of data that truly are secondary to the functioning of our educational system – not an opportunity to avoid resolution of education policy issues that affect all students.</p> <p>Nancy and Oren did something about this.</p>"		https://www.edsurge.com/news/2015-03-16-why-opting-out-of-student-data-collection-isn-t-the-solution																																																
