"ï»¿""Key""",Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
ABCD2345,webpage,,Center for History and New Media,Zotero Quick Start Guide,,,,,http://zotero.org/support/quick_start_guide,,,10/14/16 5:29,10/14/16 5:29,,,,,,,,,,,,,,,,,,,,,,,"<p><strong>Welcome to Zotero!</strong></p><p>View the Quick Start Guide to learn how to begin collecting, managing, citing, and sharing your research sources.</p><p>Thanks for installing Zotero.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3EUVATCT,conferencePaper,2013,"san Pedro, Maria Ofelia; Baker, Ryan; Bowers, Alex; Heffernan, Neil",Predicting college enrollment from student interaction with an intelligent tutoring system in middle school,Educational Data Mining 2013,,,,,,2013,9/13/16 16:07,9/13/16 16:07,,,,,,,,,,,,,,,,,,,,,,,"<p>This paper using a ITS called ASSISTment system, provide scaffolding problems in instruction methods. For the prediction model, Bayesian Knowledge Tracing was used to trace students' latent knowledge based on her observable performance. Although I do not really understand how the final feature selection for the final model, this paper provides a method/pattern in learning analytics. </p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3GZVNR8K,journalArticle,2014,"Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.",Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research,CBE-Life Sciences Education,,", 1931-7913",10.1187/cbe.13-08-0162,http://www.lifescied.org/content/13/2/167,"Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.",6/20/14,9/13/16 16:07,9/13/16 16:07,8/20/14 20:21,167-178,,2,13,,CBE Life Sci Educ,Understanding Classrooms through Social Network Analysis,,,,,,,en,,,,,www.lifescied.org,,,"<p>Having the students to list pre-class friends, and then the authors collect data on first exam study and second exam study network. Finally correlating the centrality and student exam performance with significant correlation in second exam 0..212(p = 0.001): degree centrality with exam 2 performance.</p> <p>I do not agree with the conclusion of this paper: the relationships have impacts on learning outcome. The research method in this paper could only persuade me that there is a correlation between social network and study performance. However, I do not think there is a causal relationship that relationship would help study. </p>",,http://www.lifescied.org/content/13/2/167,Week 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3IIQWP9S,bookSection,2013,"Desmarais, Michel C.; Naceur, Rhouma",A Matrix Factorization Method for Mapping Items to Skills and for Enhancing Expert-Based Q-Matrices,Artificial Intelligence in Education,978-3-642-39111-8 978-3-642-39112-5,,,http://link.springer.com/chapter/10.1007/978-3-642-39112-5_45,"Uncovering the right skills behind question items is a difficult task. It requires a thorough understanding of the subject matter and of the cognitive factors that determine student performance. The skills definition, and the mapping of item to skills, require the involvement of experts. We investigate means to assist experts for this task by using a data driven, matrix factorization approach. The two mappings of items to skills, the expert on one side and the matrix factorization on the other, are compared in terms of discrepancies, and in terms of their performance when used in a linear model of skills assessment and item outcome prediction. Visual analysis shows a relatively similar pattern between the expert and the factorized mappings, although differences arise. The prediction comparison shows the factorization approach performs slightly better than the original expert Q-matrix, giving supporting evidence to the belief that the factorization mapping is valid. Implications for the use of the factorization to design better item to skills mapping are discussed.",7/9/13,9/13/16 16:07,9/13/16 16:07,9/3/16 20:44,441-450,,,,,,,,,,,Springer Berlin Heidelberg,,en,Â©2013 Springer-Verlag Berlin Heidelberg,,,,link.springer.com,,,<p>It proposed an ALS factorization method to derive Q matrices. It provide slightly advantage (fig 1) in compare with the original method while testing with Tatsuoka's fraction algebra items.</p>,,,,alternating least squares matrix factorization; Artificial Intelligence (incl. Robotics); Cognitive modeling; Computers and Education; Educational Technology; Information Systems Applications (incl. Internet); latent skills; Pedagogic Psychology; skills assessment; Student models; User Interfaces and Human Computer Interaction,"Lane, H. Chad; Yacef, Kalina; Mostow, Jack; Pavlik, Philip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3THXWFI5,blogPost,2014,"Young, Jeffrey R.",Why Students Should Own Their Educational Data,The Chronicle of Higher Education Blogs: Wired Campus,,,,http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329,,8/21/14,9/13/16 16:07,9/13/16 16:07,8/23/14 21:32,,,,,,,,,,,,,,,,,,,,,,<p>The technology is already here. Now the problem is that how we use the technology to help the kids to design the individualized education to fit his talent. Design on average in fact dont fit anybody. Nurturing individual with adjustable seat = Do not destroy talent anymore.</p>,,http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8RMNFTHV,bookSection,2006,"Kay, Judy; Maisonneuve, Nicolas; Yacef, Kalina; Reimann, Peter",The Big Five and Visualisations of Team Work Activity,Intelligent Tutoring Systems,978-3-540-35159-7 978-3-540-35160-3,,,http://link.springer.com/chapter/10.1007/11774303_20,"We have created a set of novel visualisations of group activity: they mirror activity of individuals and their interactions, based upon readily available authentic data. We evaluated these visualisations in the context of a semester long software development project course. We give a theoretical analysis of the design of our visualizations using the framework from the â€œBig 5â€ù theory of team work as well as a qualitative study of the visualisations and the studentsâ€™ reflective reports. We conclude that these visualisations provide a powerful and valuable mirroring role with potential, when well used, to help groups learn to improve their effectiveness.",6/26/06,9/13/16 16:07,9/13/16 16:07,9/3/16 19:10,197-206,,,,,,,,,,,Springer Berlin Heidelberg,,en,Â©2006 Springer-Verlag Berlin Heidelberg,,,,link.springer.com,,,"<p>This paper creates a big5 concept for human-computer interaction /user experience researchers to design their user interface, with the hope that the visualization could provide values to help groups learn to improve their effectiveness. Although I think there is no real experiment having be done&nbsp; here to support this conclusion, but I am interested in the big 5 concept and the visualization that they mentioned.</p> <p>visualization:<br />1. activity radear</p> <p>2. interaction network</p> <p>3. wattle tree</p> <p>big5 elements:</p> <p>1. team leadership</p> <p>2. mutual performance monitoring</p> <p>3. backup behavior</p> <p>4. daptability</p> <p>5. team oridentation</p> <p>&nbsp;</p>",,https://link.springer.com/chapter/10.1007/11774303_20,,Artificial Intelligence (incl. Robotics); Computers and Education; Information Systems Applications (incl. Internet); Multimedia Information Systems; User Interfaces and Human Computer Interaction,"Ikeda, Mitsuru; Ashley, Kevin D.; Chan, Tak-Wai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9GB79T9C,journalArticle,1994,"Corbett, Albert T.; Anderson, John R.",Knowledge tracing: Modeling the acquisition of procedural knowledge,User Modeling and User-Adapted Interaction,,"0924-1868, 1573-1391",10.1007/BF01099821,http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/BF01099821,"This paper describes an effort to model students' changing knowledge state during skill acquisition. Students in this research are learning to write short programs with the ACT Programming Tutor (APT). APT is constructed around a production rule cognitive model of programming knowledge, called theideal student model. This model allows the tutor to solve exercises along with the student and provide assistance as necessary. As the student works, the tutor also maintains an estimate of the probability that the student has learned each of the rules in the ideal model, in a process calledknowledge tracing. The tutor presents an individualized sequence of exercises to the student based on these probability estimates until the student has â€˜masteredâ€™ each rule. The programming tutor, cognitive model and learning and performance assumptions are described. A series of studies is reviewed that examine the empirical validity of knowledge tracing and has led to modifications in the process. Currently the model is quite successful in predicting test performance. Further modifications in the modeling process are discussed that may improve performance levels.",12/1/94,9/13/16 16:07,9/13/16 16:07,4/21/13 21:21,253-278,,4,4,,User Model User-Adap Inter,Knowledge tracing,,,,,,,en,,,,,link.springer.com.ezp-prod1.hul.harvard.edu,,,"<p>There are too many equations that I have no clue at all. Written by Anderson in 1995. An other study based on ITS and ACT-R theoretical frameworks. I am confused while the authors talk about internal validity and external validity. I would say this is a correlational study, lacking internal validity. Since human do not really learn in the same way as they following in ITS, this paper lacks external validity anyway.</p>",,,,"Education (general); empirical validity; individual differences; intelligent tutoring systems; Learning; Management of Computing and Information Systems; mastery learning; Multimedia Information Systems; procedural knowledge; Psychology, general; student modeling; User Interfaces and Human Computer Interaction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9NZHAQSR,magazineArticle,2015,"Kucirkova, Natalia; FitzGerald, Elizabeth",Zuckerberg is ploughing billions into 'personalised learning' â€“ why?,The Conversation,,,,http://theconversation.com/zuckerberg-is-ploughing-billions-into-personalised-learning-why-51940,"Zuckerburg wants to plough billions into personalised learning, but his way may not be the right way.",12/9/15,9/13/16 16:07,9/13/16 16:07,1/18/16 19:14,,,,,,,,,,,,,,,,,,,,,,<p>Personalization learning is the new trend of education. I am interested to look at Altschool and see how tech helps kids to learn.</p>,,https://theconversation.com/zuckerberg-is-ploughing-billions-into-personalised-learning-why-51940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3692974,blogPost,2015,"Leong, B; Polonetsky, J",Why Opting Out of Student Data Collection Isnâ€™t the Solution,EdSurge,,,,https://www.edsurge.com/news/2015-03-16-why-opting-out-of-student-data-collection-isn-t-the-solution,"In every privacy debate across every industry, the same questions arise about the rights of individuals to â€œopt-outâ€ù of their data being collected or used. So it should come as no surprise that the â€œwhenâ€ù and â€œhowâ€ù of parent and student opt-outs of education data collection or use has become a robust",3/16/15,9/13/16 16:07,9/13/16 16:07,1/16/16 16:31,,,,,,,,,,,,,,,,,,,,,,<p>I do not agree with the paper. The students and parents have the rights to opt-out. No matter how data collection help students.</p>,,https://www.edsurge.com/news/2015-03-16-why-opting-out-of-student-data-collection-isn-t-the-solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E5SQKRA5,videoRecording,2016,Georgia Tech,Cross Validation,,,,,https://www.youtube.com/watch?v=sFO2ff-gTh0,,9/9/16,9/13/16 16:07,9/13/16 16:07,9/9/16 19:37,,,,,,,,,,,,Youtube,,,,,,,,,,<p>Learned. This lecture could go even further. </p>,,https://www.youtube.com/watch?v=sFO2ff-gTh0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
